body_pos_w_0,body_pos_w_1,body_pos_w_2,body_pos_w_3,body_pos_w_4,body_pos_w_5,body_pos_w_6,body_pos_w_7,body_pos_w_8,body_pos_w_9,body_pos_w_10,body_pos_w_11,body_pos_w_12,body_pos_w_13,body_pos_w_14,body_pos_w_15,body_pos_w_16,body_pos_w_17,body_pos_w_18,body_pos_w_19,body_pos_w_20,body_pos_w_21,body_pos_w_22,body_pos_w_23,body_pos_w_24,body_pos_w_25,body_pos_w_26,body_pos_w_27,body_pos_w_28,body_pos_w_29,body_pos_w_30,body_pos_w_31,body_pos_w_32,body_pos_w_33,body_pos_w_34,body_pos_w_35,body_pos_w_36,body_pos_w_37,body_pos_w_38,body_pos_w_39,body_pos_w_40,body_pos_w_41,body_pos_w_42,body_pos_w_43,body_pos_w_44,body_pos_w_45,body_pos_w_46,body_pos_w_47,body_pos_w_48,body_pos_w_49,body_pos_w_50,body_pos_w_51,body_pos_w_52,body_pos_w_53,body_pos_w_54,body_pos_w_55,body_pos_w_56,body_pos_w_57,body_pos_w_58,body_pos_w_59,body_pos_w_60,body_pos_w_61,body_pos_w_62,body_pos_w_63,body_pos_w_64,body_pos_w_65,body_pos_w_66,body_pos_w_67,body_pos_w_68,body_pos_w_69,body_pos_w_70,body_pos_w_71,body_pos_w_72,body_pos_w_73,body_pos_w_74,body_pos_w_75,body_pos_w_76,body_pos_w_77,body_pos_w_78,body_pos_w_79,body_pos_w_80,body_pos_w_81,body_pos_w_82,body_pos_w_83,body_pos_w_84,body_pos_w_85,body_pos_w_86,body_pos_w_87,body_pos_w_88,body_pos_w_89
0.000000000,0.000000000,0.870000005,0.000000000,0.143943995,0.831430018,0.012362587,0.128159419,0.772521555,0.068665981,0.129621476,0.484579235,0.068665981,0.129621476,0.484579235,-0.015549523,0.123278514,0.082349814,-0.015549523,0.123278514,0.082349814,0.000000000,-0.143943995,0.831430018,0.012362587,-0.128159419,0.772521555,0.068665981,-0.129621476,0.484579235,0.068665981,-0.129621476,0.484579235,-0.015549523,-0.123278514,0.082349814,-0.015549523,-0.123278514,0.082349814,0.000000000,0.000000000,1.290133953,0.000000000,0.174998999,1.290133953,0.000000000,0.174998999,1.290133953,0.000000000,0.220692948,1.064718723,0.000000000,0.220692948,1.064718723,0.062325533,0.252541780,0.907603502,0.062325533,0.252541780,0.907603502,0.083342284,0.263281494,0.854622781,0.000000000,-0.175000995,1.290133953,0.000000000,-0.175000995,1.290133953,0.000000000,-0.220694944,1.064718723,0.000000000,-0.220694944,1.064718723,0.062325533,-0.252543777,0.907603502,0.062325533,-0.252543777,0.907603502,0.083342284,-0.263283491,0.854622781,0.000000000,-0.000001000,1.508314967,0.000000000,-0.000001000,1.508314967
0.000000000,0.000000000,0.870000005,0.000000000,0.143943995,0.831430018,0.012362587,0.128159419,0.772521555,0.068665981,0.129621476,0.484579235,0.068665981,0.129621476,0.484579235,-0.015549523,0.123278514,0.082349814,-0.015549523,0.123278514,0.082349814,0.000000000,-0.143943995,0.831430018,0.012362587,-0.128159419,0.772521555,0.068665981,-0.129621476,0.484579235,0.068665981,-0.129621476,0.484579235,-0.015549523,-0.123278514,0.082349814,-0.015549523,-0.123278514,0.082349814,0.000000000,0.000000000,1.290133953,0.000000000,0.174998999,1.290133953,0.000000000,0.174998999,1.290133953,0.000000000,0.220692948,1.064718723,0.000000000,0.220692948,1.064718723,0.062325533,0.252541780,0.907603502,0.062325533,0.252541780,0.907603502,0.083342284,0.263281494,0.854622781,0.000000000,-0.175000995,1.290133953,0.000000000,-0.175000995,1.290133953,0.000000000,-0.220694944,1.064718723,0.000000000,-0.220694944,1.064718723,0.062325533,-0.252543777,0.907603502,0.062325533,-0.252543777,0.907603502,0.083342284,-0.263283491,0.854622781,0.000000000,-0.000001000,1.508314967,0.000000000,-0.000001000,1.508314967
0.000000000,0.000000000,0.870000005,0.000000000,0.143943995,0.831430018,0.012362587,0.128159419,0.772521555,0.068665981,0.129621476,0.484579235,0.068665981,0.129621476,0.484579235,-0.015549523,0.123278514,0.082349814,-0.015549523,0.123278514,0.082349814,0.000000000,-0.143943995,0.831430018,0.012362587,-0.128159419,0.772521555,0.068665981,-0.129621476,0.484579235,0.068665981,-0.129621476,0.484579235,-0.015549523,-0.123278514,0.082349814,-0.015549523,-0.123278514,0.082349814,0.000000000,0.000000000,1.290133953,0.000000000,0.174998999,1.290133953,0.000000000,0.174998999,1.290133953,0.000000000,0.220692948,1.064718723,0.000000000,0.220692948,1.064718723,0.062325533,0.252541780,0.907603502,0.062325533,0.252541780,0.907603502,0.083342284,0.263281494,0.854622781,0.000000000,-0.175000995,1.290133953,0.000000000,-0.175000995,1.290133953,0.000000000,-0.220694944,1.064718723,0.000000000,-0.220694944,1.064718723,0.062325533,-0.252543777,0.907603502,0.062325533,-0.252543777,0.907603502,0.083342284,-0.263283491,0.854622781,0.000000000,-0.000001000,1.508314967,0.000000000,-0.000001000,1.508314967
0.000000000,0.000000000,0.870000005,0.000000000,0.143943995,0.831430018,0.012362587,0.128159419,0.772521555,0.068665981,0.129621476,0.484579235,0.068665981,0.129621476,0.484579235,-0.015549523,0.123278514,0.082349814,-0.015549523,0.123278514,0.082349814,0.000000000,-0.143943995,0.831430018,0.012362587,-0.128159419,0.772521555,0.068665981,-0.129621476,0.484579235,0.068665981,-0.129621476,0.484579235,-0.015549523,-0.123278514,0.082349814,-0.015549523,-0.123278514,0.082349814,0.000000000,0.000000000,1.290133953,0.000000000,0.174998999,1.290133953,0.000000000,0.174998999,1.290133953,0.000000000,0.220692948,1.064718723,0.000000000,0.220692948,1.064718723,0.062325533,0.252541780,0.907603502,0.062325533,0.252541780,0.907603502,0.083342284,0.263281494,0.854622781,0.000000000,-0.175000995,1.290133953,0.000000000,-0.175000995,1.290133953,0.000000000,-0.220694944,1.064718723,0.000000000,-0.220694944,1.064718723,0.062325533,-0.252543777,0.907603502,0.062325533,-0.252543777,0.907603502,0.083342284,-0.263283491,0.854622781,0.000000000,-0.000001000,1.508314967,0.000000000,-0.000001000,1.508314967
0.000000000,0.000000000,0.870000005,0.000000000,0.143943995,0.831430018,0.012362587,0.128159419,0.772521555,0.068665981,0.129621476,0.484579235,0.068665981,0.129621476,0.484579235,-0.015549523,0.123278514,0.082349814,-0.015549523,0.123278514,0.082349814,0.000000000,-0.143943995,0.831430018,0.012362587,-0.128159419,0.772521555,0.068665981,-0.129621476,0.484579235,0.068665981,-0.129621476,0.484579235,-0.015549523,-0.123278514,0.082349814,-0.015549523,-0.123278514,0.082349814,0.000000000,0.000000000,1.290133953,0.000000000,0.174998999,1.290133953,0.000000000,0.174998999,1.290133953,0.000000000,0.220692948,1.064718723,0.000000000,0.220692948,1.064718723,0.062325533,0.252541780,0.907603502,0.062325533,0.252541780,0.907603502,0.083342284,0.263281494,0.854622781,0.000000000,-0.175000995,1.290133953,0.000000000,-0.175000995,1.290133953,0.000000000,-0.220694944,1.064718723,0.000000000,-0.220694944,1.064718723,0.062325533,-0.252543777,0.907603502,0.062325533,-0.252543777,0.907603502,0.083342284,-0.263283491,0.854622781,0.000000000,-0.000001000,1.508314967,0.000000000,-0.000001000,1.508314967
0.000000000,0.000000000,0.870000005,0.000000000,0.143943995,0.831430018,0.012362587,0.128159419,0.772521555,0.068665981,0.129621476,0.484579235,0.068665981,0.129621476,0.484579235,-0.015549523,0.123278514,0.082349814,-0.015549523,0.123278514,0.082349814,0.000000000,-0.143943995,0.831430018,0.012362587,-0.128159419,0.772521555,0.068665981,-0.129621476,0.484579235,0.068665981,-0.129621476,0.484579235,-0.015549523,-0.123278514,0.082349814,-0.015549523,-0.123278514,0.082349814,0.000000000,0.000000000,1.290133953,0.000000000,0.174998999,1.290133953,0.000000000,0.174998999,1.290133953,0.000000000,0.220692948,1.064718723,0.000000000,0.220692948,1.064718723,0.062325533,0.252541780,0.907603502,0.062325533,0.252541780,0.907603502,0.083342284,0.263281494,0.854622781,0.000000000,-0.175000995,1.290133953,0.000000000,-0.175000995,1.290133953,0.000000000,-0.220694944,1.064718723,0.000000000,-0.220694944,1.064718723,0.062325533,-0.252543777,0.907603502,0.062325533,-0.252543777,0.907603502,0.083342284,-0.263283491,0.854622781,0.000000000,-0.000001000,1.508314967,0.000000000,-0.000001000,1.508314967
0.000000000,0.000000000,0.870000005,0.000000000,0.143943995,0.831430018,0.012362587,0.128159419,0.772521555,0.068665981,0.129621476,0.484579235,0.068665981,0.129621476,0.484579235,-0.015549523,0.123278514,0.082349814,-0.015549523,0.123278514,0.082349814,0.000000000,-0.143943995,0.831430018,0.012362587,-0.128159419,0.772521555,0.068665981,-0.129621476,0.484579235,0.068665981,-0.129621476,0.484579235,-0.015549523,-0.123278514,0.082349814,-0.015549523,-0.123278514,0.082349814,0.000000000,0.000000000,1.290133953,0.000000000,0.174998999,1.290133953,0.000000000,0.174998999,1.290133953,0.000000000,0.220692948,1.064718723,0.000000000,0.220692948,1.064718723,0.062325533,0.252541780,0.907603502,0.062325533,0.252541780,0.907603502,0.083342284,0.263281494,0.854622781,0.000000000,-0.175000995,1.290133953,0.000000000,-0.175000995,1.290133953,0.000000000,-0.220694944,1.064718723,0.000000000,-0.220694944,1.064718723,0.062325533,-0.252543777,0.907603502,0.062325533,-0.252543777,0.907603502,0.083342284,-0.263283491,0.854622781,0.000000000,-0.000001000,1.508314967,0.000000000,-0.000001000,1.508314967
0.000000000,0.000000000,0.870000005,0.000000000,0.143943995,0.831430018,0.012362587,0.128159419,0.772521555,0.068665981,0.129621476,0.484579235,0.068665981,0.129621476,0.484579235,-0.015549523,0.123278514,0.082349814,-0.015549523,0.123278514,0.082349814,0.000000000,-0.143943995,0.831430018,0.012362587,-0.128159419,0.772521555,0.068665981,-0.129621476,0.484579235,0.068665981,-0.129621476,0.484579235,-0.015549523,-0.123278514,0.082349814,-0.015549523,-0.123278514,0.082349814,0.000000000,0.000000000,1.290133953,0.000000000,0.174998999,1.290133953,0.000000000,0.174998999,1.290133953,0.000000000,0.220692948,1.064718723,0.000000000,0.220692948,1.064718723,0.062325533,0.252541780,0.907603502,0.062325533,0.252541780,0.907603502,0.083342284,0.263281494,0.854622781,0.000000000,-0.175000995,1.290133953,0.000000000,-0.175000995,1.290133953,0.000000000,-0.220694944,1.064718723,0.000000000,-0.220694944,1.064718723,0.062325533,-0.252543777,0.907603502,0.062325533,-0.252543777,0.907603502,0.083342284,-0.263283491,0.854622781,0.000000000,-0.000001000,1.508314967,0.000000000,-0.000001000,1.508314967
0.000000000,0.000000000,0.870000005,0.000000000,0.143943995,0.831430018,0.012362587,0.128159419,0.772521555,0.068665981,0.129621476,0.484579235,0.068665981,0.129621476,0.484579235,-0.015549523,0.123278514,0.082349814,-0.015549523,0.123278514,0.082349814,0.000000000,-0.143943995,0.831430018,0.012362587,-0.128159419,0.772521555,0.068665981,-0.129621476,0.484579235,0.068665981,-0.129621476,0.484579235,-0.015549523,-0.123278514,0.082349814,-0.015549523,-0.123278514,0.082349814,0.000000000,0.000000000,1.290133953,0.000000000,0.174998999,1.290133953,0.000000000,0.174998999,1.290133953,0.000000000,0.220692948,1.064718723,0.000000000,0.220692948,1.064718723,0.062325533,0.252541780,0.907603502,0.062325533,0.252541780,0.907603502,0.083342284,0.263281494,0.854622781,0.000000000,-0.175000995,1.290133953,0.000000000,-0.175000995,1.290133953,0.000000000,-0.220694944,1.064718723,0.000000000,-0.220694944,1.064718723,0.062325533,-0.252543777,0.907603502,0.062325533,-0.252543777,0.907603502,0.083342284,-0.263283491,0.854622781,0.000000000,-0.000001000,1.508314967,0.000000000,-0.000001000,1.508314967
0.000000000,0.000000000,0.870000005,0.000000000,0.143943995,0.831430018,0.012362587,0.128159419,0.772521555,0.068665981,0.129621476,0.484579235,0.068665981,0.129621476,0.484579235,-0.015549523,0.123278514,0.082349814,-0.015549523,0.123278514,0.082349814,0.000000000,-0.143943995,0.831430018,0.012362587,-0.128159419,0.772521555,0.068665981,-0.129621476,0.484579235,0.068665981,-0.129621476,0.484579235,-0.015549523,-0.123278514,0.082349814,-0.015549523,-0.123278514,0.082349814,0.000000000,0.000000000,1.290133953,0.000000000,0.174998999,1.290133953,0.000000000,0.174998999,1.290133953,0.000000000,0.220692948,1.064718723,0.000000000,0.220692948,1.064718723,0.062325533,0.252541780,0.907603502,0.062325533,0.252541780,0.907603502,0.083342284,0.263281494,0.854622781,0.000000000,-0.175000995,1.290133953,0.000000000,-0.175000995,1.290133953,0.000000000,-0.220694944,1.064718723,0.000000000,-0.220694944,1.064718723,0.062325533,-0.252543777,0.907603502,0.062325533,-0.252543777,0.907603502,0.083342284,-0.263283491,0.854622781,0.000000000,-0.000001000,1.508314967,0.000000000,-0.000001000,1.508314967
