smpl_joint_0_x,smpl_joint_0_y,smpl_joint_0_z,smpl_joint_1_x,smpl_joint_1_y,smpl_joint_1_z,smpl_joint_2_x,smpl_joint_2_y,smpl_joint_2_z,smpl_joint_3_x,smpl_joint_3_y,smpl_joint_3_z,smpl_joint_4_x,smpl_joint_4_y,smpl_joint_4_z,smpl_joint_5_x,smpl_joint_5_y,smpl_joint_5_z,smpl_joint_6_x,smpl_joint_6_y,smpl_joint_6_z,smpl_joint_7_x,smpl_joint_7_y,smpl_joint_7_z,smpl_joint_8_x,smpl_joint_8_y,smpl_joint_8_z,smpl_joint_9_x,smpl_joint_9_y,smpl_joint_9_z,smpl_joint_10_x,smpl_joint_10_y,smpl_joint_10_z,smpl_joint_11_x,smpl_joint_11_y,smpl_joint_11_z,smpl_joint_12_x,smpl_joint_12_y,smpl_joint_12_z,smpl_joint_13_x,smpl_joint_13_y,smpl_joint_13_z,smpl_joint_14_x,smpl_joint_14_y,smpl_joint_14_z,smpl_joint_15_x,smpl_joint_15_y,smpl_joint_15_z,smpl_joint_16_x,smpl_joint_16_y,smpl_joint_16_z,smpl_joint_17_x,smpl_joint_17_y,smpl_joint_17_z,smpl_joint_18_x,smpl_joint_18_y,smpl_joint_18_z,smpl_joint_19_x,smpl_joint_19_y,smpl_joint_19_z,smpl_joint_20_x,smpl_joint_20_y,smpl_joint_20_z,smpl_joint_21_x,smpl_joint_21_y,smpl_joint_21_z,smpl_joint_22_x,smpl_joint_22_y,smpl_joint_22_z,smpl_joint_23_x,smpl_joint_23_y,smpl_joint_23_z
0.003123261,-0.351407468,0.012036551,0.059000090,-0.320731521,-0.080720529,-0.062043089,-0.332493484,-0.091146812,-0.000462045,-0.325526774,0.122325398,0.137270406,-0.331870317,-0.455264866,-0.111205444,-0.351544738,-0.452777565,0.007169573,-0.329961330,0.254355282,0.117749460,-0.289012104,-0.859174490,-0.101104803,-0.325425953,-0.863335967,-0.001297017,-0.349342912,0.311089575,0.182840630,-0.387606502,-0.934102952,-0.155227333,-0.430927128,-0.934198260,-0.011978747,-0.331537902,0.478411019,0.046365641,-0.344910473,0.395504057,-0.047874566,-0.346334875,0.397047877,-0.004029994,-0.259426355,0.625127316,0.156611115,-0.333616436,0.469718784,-0.144725382,-0.340716094,0.461358458,0.408714682,-0.247777730,0.495449424,-0.414304286,-0.305222720,0.501624703,0.652346015,-0.276862383,0.557418644,-0.660826802,-0.323502153,0.537428260,0.734842837,-0.332775503,0.525152445,-0.743157148,-0.381057382,0.510041118
0.003123261,-0.351407468,0.012036551,0.059000090,-0.320731521,-0.080720529,-0.062043089,-0.332493484,-0.091146812,-0.000462045,-0.325526774,0.122325398,0.137506545,-0.331699818,-0.455220491,-0.111205444,-0.351544738,-0.452777565,0.007169573,-0.329961330,0.254355282,0.118175462,-0.288780659,-0.859132767,-0.101104803,-0.325425953,-0.863335967,-0.001297017,-0.349342912,0.311089575,0.183285505,-0.387437075,-0.933963120,-0.155170470,-0.431180447,-0.933863282,-0.011978747,-0.331537902,0.478411019,0.046365641,-0.344910473,0.395504057,-0.047874566,-0.346334875,0.397047877,-0.003552937,-0.260135949,0.625447392,0.156533852,-0.333472431,0.469811410,-0.144725382,-0.340716094,0.461358458,0.408554405,-0.247425467,0.495659322,-0.414304286,-0.305222720,0.501624703,0.652200520,-0.276549608,0.557551920,-0.660826802,-0.323502153,0.537428260,0.734686553,-0.332364023,0.525088072,-0.743157148,-0.381057382,0.510041118
0.003123261,-0.351407468,0.012036551,0.058976788,-0.320761651,-0.080744535,-0.062067058,-0.332543314,-0.091140799,-0.000442318,-0.325482875,0.122315727,0.137521803,-0.331844687,-0.455233097,-0.111184567,-0.351732522,-0.452770352,0.007061960,-0.329902738,0.254353404,0.118165039,-0.288939744,-0.859145761,-0.100976162,-0.325372219,-0.863310695,-0.001441523,-0.349290669,0.311080009,0.183250859,-0.387599438,-0.933992863,-0.155026227,-0.431214929,-0.933717608,-0.012159747,-0.331459880,0.478396386,0.046200935,-0.344865978,0.395506322,-0.048040215,-0.346253335,0.397025824,-0.003345896,-0.260624170,0.625683665,0.156325907,-0.333365619,0.469868094,-0.144971788,-0.340606987,0.461212218,0.408291429,-0.247181818,0.495796114,-0.414579839,-0.305268794,0.501419663,0.651932657,-0.276450306,0.557639658,-0.661097348,-0.323531926,0.537265658,0.734392583,-0.332200021,0.524998665,-0.743487179,-0.381042928,0.509964466
0.003123261,-0.351407468,0.012036551,0.058976788,-0.320761651,-0.080744535,-0.062067058,-0.332543314,-0.091140799,-0.000442318,-0.325482875,0.122315727,0.137521803,-0.331844687,-0.455233097,-0.111184567,-0.351732522,-0.452770352,0.007061960,-0.329902738,0.254353404,0.118165039,-0.288939744,-0.859145761,-0.100976162,-0.325372219,-0.863310695,-0.001441523,-0.349290669,0.311080009,0.183250859,-0.387599438,-0.933992863,-0.155026227,-0.431214929,-0.933717608,-0.012159747,-0.331459880,0.478396386,0.046200935,-0.344865978,0.395506322,-0.048040215,-0.346253335,0.397025824,-0.003345896,-0.260624170,0.625683665,0.156325907,-0.333365619,0.469868094,-0.145036578,-0.340685397,0.461121112,0.408291429,-0.247181818,0.495796114,-0.414699674,-0.305491745,0.501085818,0.651895523,-0.276807576,0.557615995,-0.661243498,-0.323886514,0.536682963,0.734285772,-0.332632810,0.524928093,-0.743652642,-0.381357819,0.509356856
0.003123261,-0.351407468,0.012036551,0.059014559,-0.320812672,-0.080738619,-0.062024456,-0.332605124,-0.091178991,-0.000489698,-0.325419754,0.122299336,0.137581617,-0.332066804,-0.455217421,-0.111140475,-0.351996720,-0.452797949,0.006927491,-0.329782218,0.254343837,0.118269123,-0.289315045,-0.859148383,-0.100913130,-0.325727463,-0.863343596,-0.001629923,-0.349158198,0.311066419,0.183323801,-0.387999564,-0.933989823,-0.154947758,-0.431515038,-0.933845222,-0.012469279,-0.331259072,0.478367686,0.045949910,-0.344716340,0.395527124,-0.048292827,-0.346072316,0.396975696,-0.003680666,-0.260482550,0.625684977,0.156076923,-0.333263248,0.469893217,-0.145352200,-0.340457410,0.460971445,0.408022583,-0.247029051,0.495847434,-0.415026963,-0.305292606,0.500882626,0.651549935,-0.276795626,0.557901621,-0.661565185,-0.323684812,0.536519468,0.733792365,-0.332844526,0.525224209,-0.744032145,-0.381121010,0.509293854
0.003123261,-0.351407468,0.012036551,0.059014559,-0.320812672,-0.080738619,-0.062024456,-0.332605124,-0.091178991,-0.000489698,-0.325419754,0.122299336,0.137581617,-0.332066804,-0.455217421,-0.111140475,-0.351996720,-0.452797949,0.006927491,-0.329782218,0.254343837,0.118269123,-0.289315045,-0.859148383,-0.100913130,-0.325727463,-0.863343596,-0.001629923,-0.349158198,0.311066419,0.183323801,-0.387999564,-0.933989823,-0.154848576,-0.431476504,-0.933978796,-0.012469279,-0.331259072,0.478367686,0.045949910,-0.344716340,0.395527124,-0.048292827,-0.346072316,0.396975696,-0.003680666,-0.260482550,0.625684977,0.156076923,-0.333263248,0.469893217,-0.145352200,-0.340457410,0.460971445,0.408022583,-0.247029051,0.495847434,-0.415026963,-0.305292606,0.500882626,0.651549935,-0.276795626,0.557901621,-0.661565185,-0.323684812,0.536519468,0.733589947,-0.333076447,0.525114238,-0.744079411,-0.381084472,0.509360194
0.003123261,-0.351407468,0.012036551,0.059089951,-0.320873767,-0.080713302,-0.061934311,-0.332725018,-0.091257595,-0.000604719,-0.325321525,0.122272313,0.137654781,-0.332010001,-0.455196142,-0.111056536,-0.352208346,-0.452870786,0.006722134,-0.329555750,0.254326046,0.118278667,-0.289270252,-0.859125376,-0.100823209,-0.325895458,-0.863413572,-0.001858028,-0.348920107,0.311049163,0.183336630,-0.388011336,-0.933889389,-0.154901877,-0.431738108,-0.933798611,-0.012783605,-0.330801338,0.478321224,0.045678731,-0.344361931,0.395527899,-0.048564579,-0.345725656,0.396930724,-0.004106240,-0.259967893,0.625617743,0.155773252,-0.332907379,0.469941854,-0.145649880,-0.340039849,0.460880816,0.407738149,-0.246718362,0.495859027,-0.415367037,-0.305041701,0.500651538,0.651209354,-0.276481032,0.558135092,-0.661896944,-0.323646665,0.536235631,0.733182967,-0.332773596,0.525202334,-0.744348943,-0.381153405,0.509113789
0.003123261,-0.351407468,0.012036551,0.059133179,-0.320904374,-0.080697276,-0.061880283,-0.332807779,-0.091306530,-0.000679909,-0.325261176,0.122255445,0.137704760,-0.332000196,-0.455179870,-0.111083567,-0.352328509,-0.452906668,0.006573556,-0.329462558,0.254314274,0.118280649,-0.289298266,-0.859110832,-0.100872949,-0.325906247,-0.863442957,-0.002005454,-0.348834813,0.311034858,0.183358282,-0.388028979,-0.933871388,-0.155030891,-0.431771338,-0.933733165,-0.012951550,-0.330633849,0.478296638,0.045520924,-0.344235361,0.395517230,-0.048722565,-0.345597982,0.396909118,-0.004339135,-0.259812087,0.625602603,0.155590490,-0.332797736,0.469970703,-0.145812392,-0.339933753,0.460854292,0.407603085,-0.246727511,0.495818615,-0.415571362,-0.305162042,0.500540197,0.651091516,-0.276502937,0.558021069,-0.662098587,-0.323951572,0.536045969,0.732968211,-0.332756221,0.524781406,-0.744513333,-0.381527394,0.508957565
0.003123261,-0.351407468,0.012036551,0.059133179,-0.320904374,-0.080697276,-0.061880283,-0.332807779,-0.091306530,-0.000679909,-0.325261176,0.122255445,0.137704760,-0.332000196,-0.455179870,-0.111083567,-0.352328509,-0.452906668,0.006573556,-0.329462558,0.254314274,0.118280649,-0.289298266,-0.859110832,-0.100872949,-0.325906247,-0.863442957,-0.002005454,-0.348834813,0.311034858,0.183358282,-0.388028979,-0.933871388,-0.154930741,-0.431712717,-0.933898330,-0.012951550,-0.330633849,0.478296638,0.045520924,-0.344235361,0.395517230,-0.048722565,-0.345597982,0.396909118,-0.004339135,-0.259812087,0.625602603,0.155590490,-0.332797736,0.469970703,-0.145812392,-0.339933753,0.460854292,0.407603085,-0.246727511,0.495818615,-0.415571362,-0.305162042,0.500540197,0.651091516,-0.276502937,0.558021069,-0.662098587,-0.323951572,0.536045969,0.732851207,-0.332774132,0.524524570,-0.744513333,-0.381527394,0.508957565
0.003123261,-0.351407468,0.012036551,0.059129383,-0.320966274,-0.080719888,-0.061888229,-0.332845777,-0.091308348,-0.000660250,-0.325202882,0.122242272,0.137888044,-0.332322687,-0.455155313,-0.110903293,-0.352522939,-0.452925563,0.006493839,-0.329353184,0.254308134,0.118645318,-0.289829254,-0.859116912,-0.100578330,-0.326338500,-0.863474250,-0.002172449,-0.348705858,0.311022103,0.183682144,-0.388563693,-0.933907986,-0.154674858,-0.432174057,-0.933856130,-0.013325915,-0.330499917,0.478269637,0.045248445,-0.344111800,0.395564020,-0.048996896,-0.345460325,0.396837533,-0.005176113,-0.259524584,0.625527978,0.155303955,-0.332684040,0.470039725,-0.146179229,-0.339802116,0.460642546,0.407325327,-0.246678799,0.496017754,-0.415999234,-0.305067986,0.499944448,0.650767624,-0.276654750,0.558304131,-0.662546992,-0.323745728,0.535366237,0.732626140,-0.332845926,0.524914980,-0.744956911,-0.381364822,0.508355379
