f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28
0.619341,0.071225,1.083300,-1.298125,0.387849,0.149390,-0.333470,-0.136095,0.795505,0.255930,0.045025,0.197690,-0.136495,-0.120810,0.025125,-0.252230,0.211319,0.040395,0.207300,0.035235,-0.056815,-0.013640,-0.118555,0.044724,-0.061485,-0.113390,0.033415,0.000000,0.000000
0.643185,-0.028800,0.945730,-1.413470,0.552185,0.085660,-0.387570,-0.189725,0.792785,0.378830,-0.008115,0.202570,-0.202500,-0.127260,0.051930,-0.367439,0.269884,0.013700,0.287105,0.026580,-0.053820,0.041330,-0.213445,0.084579,-0.050380,-0.052600,0.029970,0.000000,0.000000
0.539235,-0.069985,0.813016,-1.271515,0.584956,0.046005,-0.482136,-0.175330,0.806196,0.539075,-0.070850,0.206150,-0.244435,-0.099200,0.094615,-0.402515,0.263181,0.039730,0.363425,0.010240,-0.047685,0.133130,-0.321315,0.121319,-0.034065,-0.051875,0.042055,0.000000,0.000000
0.437856,-0.081140,0.793890,-1.082415,0.534820,0.050160,-0.549540,-0.152370,0.778335,0.645445,-0.121030,0.255110,-0.236125,-0.057755,0.140130,-0.342846,0.187230,0.056220,0.400465,0.056240,-0.007835,0.225510,-0.408235,0.094756,-0.036340,-0.234975,0.058315,0.000000,0.000000
0.388905,-0.089010,0.837815,-0.995195,0.482375,0.083565,-0.639644,-0.113705,0.802634,0.790950,-0.181025,0.266335,-0.182985,-0.016630,0.179055,-0.227970,0.079733,0.011240,0.227310,0.074200,0.037300,0.284640,-0.408685,0.026736,-0.030575,-0.232045,0.048975,0.000000,0.000000
0.399580,-0.100385,0.907986,-1.042901,0.463790,0.118080,-0.748411,-0.063785,0.878406,0.959351,-0.233490,0.233465,-0.115230,0.019710,0.209020,-0.093190,-0.024301,-0.083170,-0.091225,0.046340,0.064900,0.303815,-0.302020,-0.049415,-0.002675,-0.015085,0.009230,0.000000,0.000000
0.391530,-0.094900,0.953495,-1.101860,0.470275,0.098760,-0.852740,-0.004375,0.923430,1.056325,-0.226195,0.225730,-0.078125,0.058145,0.230145,0.022306,-0.097063,-0.151640,-0.274420,0.007960,0.063595,0.300935,-0.116205,-0.095898,0.060395,0.152825,-0.046895,0.000000,0.000000
0.380015,-0.083350,0.968809,-1.090969,0.461720,0.059240,-0.887534,0.057975,0.938659,1.089204,-0.189825,0.211505,-0.060850,0.076495,0.243605,0.081945,-0.102147,-0.153280,-0.286450,-0.015495,0.048420,0.283675,0.070640,-0.109085,0.174580,0.170985,-0.088475,0.000000,0.000000
0.237725,-0.085015,0.974720,-0.652026,0.240740,0.041845,-0.818945,0.112960,0.936490,1.096670,-0.167545,0.161050,-0.041155,0.059770,0.252395,0.070965,-0.032935,-0.075695,-0.166390,-0.006285,0.043085,0.258005,0.179235,-0.104952,0.335295,0.009310,-0.091910,0.000000,0.000000
0.076436,-0.073930,0.968651,-0.154041,-0.021180,0.044280,-0.742240,0.153565,0.840170,1.112816,-0.130695,0.057550,-0.008485,0.037560,0.242025,0.063425,0.058612,0.029050,-0.001205,0.018030,0.038605,0.211185,0.218545,-0.077373,0.463800,-0.078890,-0.093320,0.000000,0.000000
0.080080,-0.044415,0.943579,-0.043230,-0.094370,0.054575,-0.665085,0.136350,0.562375,1.062979,-0.075210,0.032460,0.025550,0.024490,0.209615,0.078140,0.138608,0.104190,0.127475,0.039785,0.028105,0.140215,0.204145,-0.033957,0.487425,-0.024565,-0.084375,0.000000,0.000000
0.106955,-0.006350,0.917344,-0.026185,-0.122175,0.039255,-0.493485,-0.051389,-0.097343,0.688180,0.004585,0.504184,0.037475,0.010550,0.155865,0.064004,0.211546,0.086995,0.144450,0.027445,-0.006670,0.051715,0.160830,0.019330,0.323920,0.075980,0.000930,0.000000,0.000000
0.125030,0.024855,0.894325,-0.006810,-0.151950,0.009245,-0.355980,-0.254440,-0.766464,0.412266,0.027120,0.846125,0.029705,0.021285,0.127111,0.049105,0.236213,0.000365,0.103030,0.025500,-0.037870,-0.024785,0.112485,0.062799,0.056971,0.130585,0.063915,0.000000,0.000000
0.159436,0.035270,0.871826,0.001130,-0.173805,-0.018685,-0.351384,-0.318785,-1.077855,0.591490,-0.071074,0.491807,0.019675,0.046020,0.127470,0.055625,0.230721,-0.097125,0.084775,0.072010,-0.036765,-0.071115,0.075685,0.085723,-0.186700,0.067375,0.016760,0.000000,0.000000
0.164960,0.066130,0.812746,0.003460,-0.183525,-0.069810,-0.390186,-0.467730,-1.614755,0.871810,-0.339910,-0.010669,0.007425,0.071525,0.127050,0.024170,0.184807,-0.129940,0.106625,0.105605,-0.021990,-0.110220,0.030680,0.074902,-0.283885,-0.038770,0.021925,0.000000,0.000000
0.142610,0.108285,0.725994,0.005365,-0.181385,-0.126715,-0.415755,-0.717964,-2.328701,1.126309,-0.688839,-0.409169,-0.005690,0.088000,0.125135,-0.040499,0.120920,-0.100365,0.157555,0.107035,-0.003615,-0.121360,-0.034275,0.051680,-0.238800,-0.125225,0.088130,0.000000,0.000000
