f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89
0.013342,0.039904,0.852542,0.156722,0.057553,0.815960,0.141422,0.056838,0.755647,0.149075,0.063081,0.462415,0.149075,0.063081,0.462415,0.145159,0.130928,0.057072,0.145159,0.130928,0.057072,-0.130169,0.033820,0.812857,-0.113674,0.035878,0.752891,-0.101541,0.042632,0.459821,-0.101541,0.042632,0.459821,-0.077946,0.101767,0.053783,-0.077946,0.101767,0.053783,0.014059,-0.023079,1.267928,0.189029,-0.026173,1.267157,0.189029,-0.026173,1.267157,0.224854,0.011521,1.043113,0.224854,0.011521,1.043113,0.213807,-0.034326,0.877704,0.213807,-0.034326,0.877704,0.214098,-0.052162,0.822515,-0.160913,-0.019985,1.268699,-0.160913,-0.019985,1.268699,-0.176368,0.036228,1.046210,-0.176368,0.036228,1.046210,-0.171565,0.003352,0.877450,-0.171565,0.003352,0.877450,-0.176346,-0.009285,0.821045,0.014431,-0.055787,1.483643,0.014431,-0.055787,1.483643
0.012827,0.039906,0.852573,0.156221,0.057588,0.816062,0.140946,0.056912,0.755743,0.148709,0.063350,0.462517,0.148709,0.063350,0.462517,0.145099,0.130835,0.057111,0.145099,0.130835,0.057111,-0.130663,0.033780,0.812814,-0.114138,0.035853,0.752857,-0.101884,0.042655,0.459793,-0.101884,0.042655,0.459793,-0.078124,0.101790,0.053764,-0.078124,0.101790,0.053764,0.013347,-0.023035,1.267965,0.188318,-0.026135,1.267276,0.188318,-0.026135,1.267276,0.224288,0.011447,1.043236,0.224288,0.011447,1.043236,0.213199,-0.034502,0.877859,0.213199,-0.034502,0.877859,0.213510,-0.052401,0.822690,-0.161625,-0.019934,1.268654,-0.161625,-0.019934,1.268654,-0.177052,0.036055,1.046107,-0.177052,0.036055,1.046107,-0.172148,0.002993,0.877386,-0.172148,0.002993,0.877386,-0.176908,-0.009720,0.820997,0.013617,-0.055720,1.483684,0.013617,-0.055720,1.483684
0.012344,0.039948,0.852600,0.155767,0.057619,0.816199,0.140528,0.057036,0.755870,0.148425,0.063881,0.462657,0.148425,0.063881,0.462657,0.145331,0.130628,0.057125,0.145331,0.130628,0.057125,-0.131114,0.033815,0.812729,-0.114542,0.035887,0.752785,-0.102097,0.042683,0.459728,-0.102097,0.042683,0.459728,-0.078073,0.101782,0.053710,-0.078073,0.101782,0.053710,0.012533,-0.022892,1.268008,0.187504,-0.025992,1.267459,0.187504,-0.025992,1.267459,0.223667,0.011455,1.043428,0.223667,0.011455,1.043428,0.212512,-0.034509,0.878059,0.212512,-0.034509,0.878059,0.212851,-0.052451,0.822905,-0.162440,-0.019792,1.268556,-0.162440,-0.019792,1.268556,-0.177757,0.035932,1.045935,-0.177757,0.035932,1.045935,-0.172707,0.002627,0.877266,-0.172707,0.002627,0.877266,-0.177485,-0.010192,0.820903,0.012630,-0.055525,1.483735,0.012630,-0.055525,1.483735
0.011928,0.039959,0.852621,0.155375,0.057574,0.816287,0.140148,0.057127,0.755954,0.148083,0.064556,0.462756,0.148083,0.064556,0.462756,0.145496,0.130331,0.057062,0.145496,0.130331,0.057062,-0.131515,0.033894,0.812684,-0.114914,0.035949,0.752747,-0.102323,0.042697,0.459696,-0.102323,0.042697,0.459696,-0.078098,0.101696,0.053675,-0.078098,0.101696,0.053675,0.011903,-0.022945,1.268019,0.186875,-0.025964,1.267573,0.186875,-0.025964,1.267573,0.223120,0.011470,1.043552,0.223120,0.011470,1.043552,0.211894,-0.034424,0.878169,0.211894,-0.034424,0.878169,0.212175,-0.052335,0.823004,-0.163072,-0.019927,1.268465,-0.163072,-0.019927,1.268465,-0.178337,0.035682,1.045812,-0.178337,0.035682,1.045812,-0.173139,0.002219,0.877179,-0.173139,0.002219,0.877179,-0.177862,-0.010661,0.820825,0.011889,-0.055612,1.483741,0.011889,-0.055612,1.483741
0.011513,0.040013,0.852649,0.154984,0.057572,0.816384,0.139770,0.057262,0.756046,0.147713,0.065276,0.462864,0.147713,0.065276,0.462864,0.145615,0.130005,0.056998,0.145615,0.130005,0.056998,-0.131915,0.034028,0.812648,-0.115286,0.036061,0.752719,-0.102567,0.042744,0.459671,-0.102567,0.042744,0.459671,-0.078160,0.101629,0.053645,-0.078160,0.101629,0.053645,0.011277,-0.023022,1.268028,0.186251,-0.025971,1.267679,0.186251,-0.025971,1.267679,0.222549,0.011541,1.043681,0.222549,0.011541,1.043681,0.211348,-0.034257,0.878269,0.211348,-0.034257,0.878269,0.211667,-0.052153,0.823100,-0.163699,-0.020072,1.268376,-0.163699,-0.020072,1.268376,-0.178896,0.035454,1.045697,-0.178896,0.035454,1.045697,-0.173548,0.001858,0.877095,-0.173548,0.001858,0.877095,-0.178200,-0.011066,0.820745,0.011153,-0.055756,1.483739,0.011153,-0.055756,1.483739
0.011153,0.040037,0.852691,0.154654,0.057592,0.816541,0.139474,0.057412,0.756195,0.147474,0.065999,0.463031,0.147474,0.065999,0.463031,0.145901,0.129801,0.057016,0.145901,0.129801,0.057016,-0.132247,0.034107,0.812582,-0.115573,0.036137,0.752665,-0.102680,0.042830,0.459626,-0.102680,0.042830,0.459626,-0.078027,0.101691,0.053611,-0.078027,0.101691,0.053611,0.010604,-0.023276,1.268027,0.185578,-0.026246,1.267806,0.185578,-0.026246,1.267806,0.221896,0.011517,1.043853,0.221896,0.011517,1.043853,0.210878,-0.034128,0.878386,0.210878,-0.034128,0.878386,0.211429,-0.052054,0.823229,-0.164372,-0.020305,1.268249,-0.164372,-0.020305,1.268249,-0.179466,0.035142,1.045543,-0.179466,0.035142,1.045543,-0.173960,0.001465,0.876962,-0.173960,0.001465,0.876962,-0.178530,-0.011476,0.820609,0.010318,-0.056154,1.483716,0.010318,-0.056154,1.483716
0.010814,0.040091,0.852730,0.154326,0.057667,0.816634,0.139160,0.057563,0.756284,0.147185,0.066504,0.463131,0.147185,0.066504,0.463131,0.145991,0.129433,0.056979,0.145991,0.129433,0.056979,-0.132574,0.034179,0.812572,-0.115878,0.036190,0.752661,-0.102874,0.042803,0.459625,-0.102874,0.042803,0.459625,-0.078056,0.101520,0.053598,-0.078056,0.101520,0.053598,0.010135,-0.023435,1.268033,0.185108,-0.026431,1.267861,0.185108,-0.026431,1.267861,0.221378,0.011513,1.043930,0.221378,0.011513,1.043930,0.210555,-0.034001,0.878415,0.210555,-0.034001,0.878415,0.211260,-0.051915,0.823255,-0.164840,-0.020438,1.268205,-0.164840,-0.020438,1.268205,-0.179910,0.034886,1.045467,-0.179910,0.034886,1.045467,-0.174333,0.001008,0.876929,-0.174333,0.001008,0.876929,-0.178885,-0.012003,0.820591,0.009782,-0.056424,1.483705,0.009782,-0.056424,1.483705
0.010509,0.040201,0.852732,0.154025,0.057834,0.816679,0.138869,0.057788,0.756325,0.146959,0.067025,0.463184,0.146959,0.067025,0.463184,0.146097,0.129380,0.056942,0.146097,0.129380,0.056942,-0.132869,0.034290,0.812541,-0.116159,0.036299,0.752634,-0.103030,0.042905,0.459603,-0.103030,0.042905,0.459603,-0.078028,0.101585,0.053582,-0.078028,0.101585,0.053582,0.009760,-0.023637,1.267987,0.184733,-0.026646,1.267840,0.184733,-0.026646,1.267840,0.220969,0.011490,1.043937,0.220969,0.011490,1.043937,0.210347,-0.033845,0.878360,0.210347,-0.033845,0.878360,0.211131,-0.051689,0.823178,-0.165215,-0.020628,1.268134,-0.165215,-0.020628,1.268134,-0.180269,0.034638,1.045380,-0.180269,0.034638,1.045380,-0.174640,0.000553,0.876885,-0.174640,0.000553,0.876885,-0.179187,-0.012532,0.820564,0.009370,-0.056789,1.483634,0.009370,-0.056789,1.483634
0.010214,0.040298,0.852730,0.153729,0.057965,0.816691,0.138579,0.057916,0.756336,0.146777,0.067162,0.463198,0.146777,0.067162,0.463198,0.146117,0.129305,0.056923,0.146117,0.129305,0.056923,-0.133160,0.034366,0.812528,-0.116445,0.036366,0.752621,-0.103192,0.042928,0.459595,-0.103192,0.042928,0.459595,-0.078019,0.101511,0.053571,-0.078019,0.101511,0.053571,0.009445,-0.023609,1.267975,0.184417,-0.026681,1.267826,0.184417,-0.026681,1.267826,0.220647,0.011391,1.043911,0.220647,0.011391,1.043911,0.210108,-0.033870,0.878308,0.210108,-0.033870,0.878308,0.210887,-0.051671,0.823113,-0.165529,-0.020536,1.268124,-0.165529,-0.020536,1.268124,-0.180578,0.034512,1.045316,-0.180578,0.034512,1.045316,-0.174943,0.000148,0.876878,-0.174943,0.000148,0.876878,-0.179457,-0.013018,0.820573,0.009044,-0.056797,1.483617,0.009044,-0.056797,1.483617
0.009945,0.040453,0.852742,0.153457,0.058162,0.816713,0.138313,0.058092,0.756357,0.146610,0.067279,0.463219,0.146610,0.067279,0.463219,0.146093,0.129317,0.056928,0.146093,0.129317,0.056928,-0.133425,0.034481,0.812529,-0.116705,0.036476,0.752624,-0.103348,0.043000,0.459602,-0.103348,0.043000,0.459602,-0.078025,0.101526,0.053579,-0.078025,0.101526,0.053579,0.009166,-0.023462,1.267985,0.184137,-0.026595,1.267831,0.184137,-0.026595,1.267831,0.220390,0.011323,1.043894,0.220390,0.011323,1.043894,0.209825,-0.033904,0.878283,0.209825,-0.033904,0.878283,0.210553,-0.051679,0.823079,-0.165807,-0.020329,1.268139,-0.165807,-0.020329,1.268139,-0.180858,0.034445,1.045264,-0.180858,0.034445,1.045264,-0.175209,-0.000208,0.876886,-0.175209,-0.000208,0.876886,-0.179664,-0.013454,0.820594,0.008760,-0.056655,1.483626,0.008760,-0.056655,1.483626
