f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28
-0.292135,-0.066762,-0.179445,0.309549,-0.183747,0.058275,-0.229915,0.049589,0.048577,0.191428,-0.144881,-0.004187,-0.088669,-0.020265,0.143545,-0.411306,1.034051,-0.039298,0.083355,-0.033601,0.028079,-0.093299,0.237378,1.061531,0.025325,-0.107916,-0.101332,0.000000,0.000000
-0.278085,-0.066731,-0.158351,0.279977,-0.173553,0.060695,-0.236465,0.045671,0.063984,0.196928,-0.144287,0.000167,-0.091991,-0.022997,0.144204,-0.417618,1.039058,-0.039377,0.088088,-0.032441,0.027122,-0.093320,0.234391,1.062487,0.023979,-0.110318,-0.100831,0.000000,0.000000
-0.266407,-0.067914,-0.141616,0.253011,-0.161659,0.061701,-0.245418,0.042000,0.080288,0.206581,-0.145205,0.003916,-0.096769,-0.025355,0.145622,-0.426004,1.044847,-0.038750,0.094839,-0.032538,0.025926,-0.091646,0.228840,1.064914,0.023310,-0.110020,-0.100133,0.000000,0.000000
-0.256516,-0.069530,-0.125830,0.229116,-0.150155,0.062535,-0.255750,0.038658,0.096232,0.218491,-0.147121,0.008413,-0.101768,-0.026965,0.147989,-0.433719,1.049585,-0.037788,0.102625,-0.032031,0.025215,-0.087995,0.221538,1.067340,0.022616,-0.112393,-0.099149,0.000000,0.000000
-0.248893,-0.071160,-0.109860,0.209714,-0.140267,0.063708,-0.267400,0.035905,0.111422,0.232399,-0.150046,0.014120,-0.106214,-0.027665,0.151227,-0.439717,1.052336,-0.036501,0.110858,-0.030289,0.025613,-0.082626,0.212511,1.068705,0.021856,-0.119419,-0.097800,0.000000,0.000000
-0.240959,-0.073091,-0.092318,0.189309,-0.130860,0.065878,-0.281336,0.034110,0.128337,0.250129,-0.154362,0.019066,-0.109088,-0.027630,0.155151,-0.442837,1.052775,-0.037338,0.111717,-0.029063,0.026707,-0.076609,0.205191,1.068409,0.021393,-0.121675,-0.097190,0.000000,0.000000
-0.232910,-0.075175,-0.073541,0.167998,-0.121715,0.068431,-0.297336,0.033354,0.146558,0.270773,-0.159386,0.023459,-0.110823,-0.026877,0.159588,-0.443445,1.051364,-0.039828,0.107209,-0.028435,0.028209,-0.070473,0.200430,1.066728,0.021749,-0.120022,-0.097431,0.000000,0.000000
-0.225298,-0.076887,-0.054178,0.145234,-0.112049,0.069828,-0.315446,0.033935,0.165274,0.292382,-0.163410,0.028096,-0.112213,-0.025304,0.164357,-0.441945,1.048892,-0.043404,0.100741,-0.028745,0.029250,-0.064572,0.200543,1.064573,0.023809,-0.115562,-0.099066,0.000000,0.000000
-0.217709,-0.078509,-0.034789,0.124359,-0.103246,0.070801,-0.332837,0.035673,0.184104,0.314341,-0.166979,0.031919,-0.113257,-0.023817,0.169332,-0.440167,1.047278,-0.045959,0.095751,-0.029055,0.030146,-0.059126,0.203256,1.062365,0.028732,-0.113183,-0.100970,0.000000,0.000000
-0.215789,-0.080287,-0.015189,0.119153,-0.102419,0.071502,-0.348204,0.038453,0.202734,0.336249,-0.170112,0.034538,-0.113859,-0.022914,0.174452,-0.439107,1.047575,-0.046432,0.094085,-0.028996,0.030974,-0.054252,0.207712,1.060375,0.037221,-0.115189,-0.102742,0.000000,0.000000
-0.214652,-0.081466,0.003957,0.118198,-0.104093,0.072572,-0.362527,0.041816,0.217711,0.358854,-0.172207,0.034221,-0.113596,-0.022315,0.179013,-0.437630,1.049623,-0.044797,0.095703,-0.028334,0.031690,-0.050679,0.211997,1.059270,0.047284,-0.116338,-0.104703,0.000000,0.000000
-0.212586,-0.082064,0.022554,0.117424,-0.106194,0.073685,-0.374807,0.043907,0.225229,0.378768,-0.173120,0.035836,-0.112837,-0.021934,0.182837,-0.435981,1.053119,-0.042264,0.099184,-0.027405,0.032098,-0.048643,0.215878,1.059017,0.056718,-0.116172,-0.106117,0.000000,0.000000
-0.210374,-0.081720,0.040651,0.117150,-0.108980,0.074142,-0.382266,0.039760,0.213817,0.386381,-0.172023,0.054389,-0.112097,-0.021893,0.185248,-0.435070,1.058084,-0.041317,0.101481,-0.027236,0.031423,-0.048610,0.218431,1.060043,0.060241,-0.113299,-0.104666,0.000000,0.000000
-0.207585,-0.081070,0.058327,0.117152,-0.112272,0.074055,-0.389046,0.033729,0.194570,0.395259,-0.172035,0.069681,-0.111649,-0.021083,0.187921,-0.434017,1.062567,-0.042249,0.103305,-0.026385,0.030583,-0.049634,0.220377,1.061529,0.058997,-0.110949,-0.103560,0.000000,0.000000
-0.203996,-0.080309,0.075524,0.117195,-0.115933,0.073395,-0.396322,0.027009,0.170703,0.410041,-0.174866,0.074061,-0.111310,-0.020052,0.190347,-0.432845,1.067313,-0.045202,0.104872,-0.024355,0.029953,-0.051455,0.221458,1.063472,0.052773,-0.110604,-0.103995,0.000000,0.000000
-0.200986,-0.078425,0.090837,0.117290,-0.119613,0.071262,-0.404654,0.015020,0.129980,0.430131,-0.185632,0.069254,-0.111352,-0.018222,0.193003,-0.433050,1.069960,-0.047447,0.107570,-0.022161,0.029704,-0.054043,0.221605,1.064525,0.047641,-0.112499,-0.102683,0.000000,0.000000
-0.198292,-0.075978,0.104564,0.117410,-0.123188,0.068326,-0.412952,-0.001710,0.077555,0.455093,-0.202420,0.057694,-0.111538,-0.016532,0.195352,-0.434465,1.072150,-0.049217,0.111174,-0.020074,0.029808,-0.056309,0.220087,1.065539,0.043221,-0.115613,-0.100470,0.000000,0.000000
-0.195462,-0.074183,0.117292,0.117520,-0.126439,0.065731,-0.420126,-0.022236,0.021944,0.485403,-0.221318,0.042765,-0.112023,-0.014869,0.197568,-0.436210,1.073650,-0.051927,0.115491,-0.018411,0.031297,-0.057957,0.215999,1.066040,0.038997,-0.116473,-0.099416,0.000000,0.000000
-0.191992,-0.072877,0.128518,0.117641,-0.129314,0.064895,-0.423883,-0.043225,-0.029834,0.515309,-0.238879,0.029808,-0.113078,-0.013061,0.199118,-0.437200,1.074986,-0.054480,0.118095,-0.017767,0.033621,-0.058685,0.210431,1.066369,0.035665,-0.117860,-0.098453,0.000000,0.000000
-0.187653,-0.072079,0.138001,0.117814,-0.131784,0.066600,-0.423503,-0.062484,-0.073981,0.542289,-0.252582,0.021689,-0.114427,-0.010888,0.200103,-0.437374,1.075772,-0.056597,0.117614,-0.018415,0.037051,-0.058720,0.203282,1.066015,0.033851,-0.120589,-0.097318,0.000000,0.000000
