f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119
0.941976,0.037388,0.062318,-0.327720,0.949132,0.018767,0.005419,-0.314271,0.948747,-0.032918,0.022516,-0.313511,0.958834,-0.032136,0.023619,-0.281151,0.955700,-0.015244,0.080988,-0.282571,0.959118,-0.040158,-0.003792,-0.280118,0.959923,-0.008198,-0.013118,-0.279837,0.916040,-0.032948,-0.127147,-0.378970,0.915008,-0.054550,-0.118171,-0.381864,0.918226,-0.055554,-0.117702,-0.374059,0.903904,0.074267,0.199878,-0.370797,0.923029,0.021390,0.070790,-0.377556,0.921690,0.054114,0.057355,-0.379829,0.918331,0.033200,0.064646,-0.389085,0.917500,0.037810,0.075528,-0.388664,0.911223,0.113616,0.043102,-0.393582,0.793609,0.100351,0.068528,-0.596170,0.645649,0.392392,0.466529,-0.459911,0.638234,0.404340,0.457889,-0.468513,0.658154,0.424019,0.439728,-0.440092,0.662989,0.419112,0.432403,-0.444767,0.914854,0.049327,0.102722,-0.387371,0.915910,0.022368,0.114083,-0.384178,0.944810,0.031823,0.111815,-0.306299,0.744582,0.188240,0.592255,-0.243716,0.752397,0.154066,0.602759,-0.216435,0.742819,0.129046,0.608607,-0.247317,0.764780,0.119828,0.580769,-0.251913,0.918331,0.033200,0.064646,-0.389085,0.918331,0.033200,0.064646,-0.389085
0.941052,0.037882,0.061965,-0.330374,0.948183,0.019264,0.005623,-0.317090,0.947801,-0.033114,0.023121,-0.316296,0.959041,-0.032219,0.024352,-0.280374,0.955860,-0.015366,0.081758,-0.281801,0.959343,-0.040374,-0.003598,-0.279316,0.960170,-0.006634,-0.013412,-0.279017,0.915219,-0.032530,-0.126078,-0.381339,0.914062,-0.056344,-0.116109,-0.384492,0.915499,-0.056779,-0.115896,-0.381059,0.899612,0.077553,0.205591,-0.377379,0.919644,0.023412,0.076319,-0.384554,0.918361,0.053925,0.063512,-0.386875,0.917326,0.033731,0.064319,-0.391456,0.916465,0.038546,0.075604,-0.391011,0.910270,0.113148,0.043468,-0.395874,0.793138,0.099924,0.068609,-0.596858,0.645137,0.392444,0.466448,-0.460665,0.638237,0.403569,0.458392,-0.468682,0.657542,0.422648,0.440862,-0.441189,0.662480,0.417638,0.433407,-0.445935,0.913739,0.050430,0.103464,-0.389657,0.914838,0.023126,0.115052,-0.386394,0.944337,0.032810,0.112674,-0.307337,0.743063,0.189899,0.593569,-0.243867,0.750955,0.155791,0.604080,-0.216526,0.741632,0.131352,0.609860,-0.246575,0.763263,0.122323,0.582561,-0.251176,0.917326,0.033731,0.064319,-0.391456,0.917326,0.033731,0.064319,-0.391456
0.940311,0.038173,0.061797,-0.332475,0.947409,0.019628,0.006097,-0.319364,0.947032,-0.033177,0.023878,-0.318528,0.959166,-0.032182,0.025203,-0.279874,0.955930,-0.015345,0.082661,-0.281300,0.959491,-0.040529,-0.003462,-0.278788,0.960332,-0.005260,-0.013699,-0.278472,0.914909,-0.031796,-0.123803,-0.382889,0.913596,-0.058409,-0.112608,-0.386329,0.912806,-0.058179,-0.112727,-0.388193,0.895456,0.079679,0.209951,-0.384357,0.916047,0.025005,0.082332,-0.391731,0.914829,0.053440,0.070127,-0.394099,0.916485,0.034039,0.064167,-0.393419,0.915576,0.039140,0.076052,-0.392944,0.909476,0.112539,0.044251,-0.397783,0.792862,0.099258,0.069072,-0.597282,0.644733,0.392020,0.466605,-0.461431,0.638171,0.402616,0.458920,-0.469075,0.656777,0.421004,0.442112,-0.442647,0.661752,0.415955,0.434631,-0.447395,0.912765,0.051350,0.104510,-0.391536,0.913896,0.023892,0.116232,-0.388218,0.943677,0.033718,0.113770,-0.308859,0.741604,0.191605,0.594553,-0.244578,0.749572,0.157577,0.605090,-0.217203,0.740510,0.133807,0.610787,-0.246333,0.761745,0.124970,0.584090,-0.250932,0.916485,0.034039,0.064167,-0.393419,0.916485,0.034039,0.064167,-0.393419
0.939380,0.038272,0.061815,-0.335080,0.946459,0.019795,0.006822,-0.322145,0.946087,-0.033107,0.024807,-0.321261,0.958937,-0.032018,0.026198,-0.280584,0.955638,-0.015125,0.083687,-0.282000,0.959289,-0.040644,-0.003346,-0.279465,0.960140,-0.004311,-0.013920,-0.279138,0.914739,-0.030846,-0.120007,-0.384578,0.913253,-0.060555,-0.107446,-0.388275,0.909815,-0.059611,-0.107973,-0.396264,0.891234,0.080707,0.212423,-0.392511,0.912054,0.025617,0.087054,-0.399903,0.910898,0.052572,0.075192,-0.402302,0.915362,0.034132,0.064194,-0.396013,0.914395,0.039566,0.076754,-0.395507,0.908408,0.111706,0.045258,-0.400336,0.792076,0.098313,0.069720,-0.598406,0.643840,0.391673,0.466599,-0.462976,0.637438,0.402008,0.459070,-0.470443,0.655387,0.419692,0.442961,-0.445097,0.660354,0.414633,0.435523,-0.449814,0.911494,0.052113,0.105770,-0.394050,0.912648,0.024716,0.117556,-0.390696,0.942474,0.034589,0.115039,-0.311949,0.739883,0.193987,0.595033,-0.246733,0.747955,0.160068,0.605659,-0.219361,0.739255,0.137373,0.611206,-0.247098,0.760135,0.128666,0.585035,-0.251742,0.915362,0.034132,0.064194,-0.396013,0.915362,0.034132,0.064194,-0.396013
0.938822,0.037945,0.062008,-0.336644,0.945878,0.019582,0.007643,-0.323842,0.945503,-0.033042,0.025637,-0.322916,0.958904,-0.031872,0.027079,-0.280630,0.955548,-0.014964,0.084606,-0.282038,0.959280,-0.040809,-0.003530,-0.279471,0.960138,-0.004393,-0.014128,-0.279136,0.915543,-0.029233,-0.113871,-0.384655,0.913909,-0.062008,-0.100020,-0.388487,0.907396,-0.060354,-0.101026,-0.403464,0.888140,0.079568,0.211617,-0.400119,0.908967,0.023017,0.085749,-0.407304,0.907839,0.050786,0.073261,-0.409734,0.914672,0.033789,0.064367,-0.397606,0.913652,0.039500,0.077506,-0.397079,0.907818,0.110394,0.046408,-0.401902,0.791555,0.096821,0.070472,-0.599249,0.643097,0.390736,0.466853,-0.464541,0.636655,0.401147,0.459234,-0.472075,0.654060,0.418235,0.443728,-0.447650,0.659044,0.413137,0.436291,-0.452358,0.910632,0.052454,0.107319,-0.395576,0.911793,0.025217,0.119093,-0.392193,0.941149,0.034996,0.116594,-0.315309,0.738319,0.195946,0.595181,-0.249499,0.746487,0.162071,0.605941,-0.222096,0.738768,0.142030,0.610949,-0.246557,0.759670,0.133326,0.584756,-0.251370,0.914672,0.033789,0.064367,-0.397606,0.914672,0.033789,0.064367,-0.397606
0.938361,0.037058,0.062520,-0.337929,0.945416,0.018803,0.008701,-0.325206,0.945033,-0.032833,0.026441,-0.324246,0.958819,-0.031595,0.027909,-0.280871,0.955408,-0.014656,0.085489,-0.282262,0.959218,-0.040874,-0.003841,-0.279672,0.960075,-0.005068,-0.014269,-0.279334,0.916701,-0.027739,-0.106487,-0.384123,0.915020,-0.062037,-0.092033,-0.387840,0.905641,-0.059854,-0.093467,-0.409262,0.886380,0.077336,0.207971,-0.406322,0.906837,0.019333,0.081047,-0.413164,0.905778,0.047885,0.067994,-0.415511,0.914082,0.032862,0.064824,-0.398963,0.913016,0.038797,0.078424,-0.398430,0.907347,0.108745,0.047618,-0.403273,0.790952,0.094959,0.071245,-0.600251,0.642180,0.389657,0.467211,-0.466355,0.635596,0.400305,0.459374,-0.474076,0.652646,0.416972,0.444301,-0.450316,0.657648,0.411833,0.436862,-0.455022,0.909875,0.052127,0.108975,-0.396906,0.911021,0.025105,0.120704,-0.393498,0.939683,0.034719,0.118298,-0.319056,0.736696,0.197464,0.595211,-0.253003,0.744945,0.163617,0.606144,-0.225559,0.738065,0.145909,0.610648,-0.247141,0.759073,0.137132,0.584328,-0.252117,0.914082,0.032862,0.064824,-0.398963,0.914082,0.032862,0.064824,-0.398963
0.938004,0.035626,0.063351,-0.338919,0.945079,0.017473,0.009992,-0.326223,0.944688,-0.032299,0.027150,-0.325245,0.958680,-0.031012,0.028610,-0.281341,0.955221,-0.014026,0.086249,-0.282698,0.959097,-0.040653,-0.004321,-0.280111,0.959939,-0.006086,-0.014406,-0.279773,0.918078,-0.026536,-0.098338,-0.383091,0.916489,-0.060151,-0.084238,-0.386437,0.904793,-0.057662,-0.085961,-0.413080,0.886275,0.074451,0.201387,-0.410387,0.905894,0.015403,0.073456,-0.416801,0.904968,0.043760,0.060370,-0.418897,0.913646,0.031376,0.065560,-0.399960,0.912568,0.037330,0.079161,-0.399449,0.907112,0.106403,0.048652,-0.404300,0.790418,0.092434,0.071726,-0.601291,0.641084,0.388414,0.467885,-0.468220,0.634341,0.399332,0.459801,-0.476161,0.651295,0.415846,0.444921,-0.452693,0.656321,0.410663,0.437474,-0.457401,0.909292,0.051097,0.110617,-0.397922,0.910402,0.024287,0.122292,-0.394490,0.938174,0.033668,0.120048,-0.322930,0.735001,0.198391,0.595278,-0.257018,0.743294,0.164621,0.606394,-0.229568,0.736794,0.148115,0.610635,-0.249642,0.757905,0.139204,0.584227,-0.254718,0.913646,0.031376,0.065560,-0.399960,0.913646,0.031376,0.065560,-0.399960
0.937720,0.034402,0.064073,-0.339695,0.944802,0.016367,0.011183,-0.327041,0.944415,-0.031609,0.027768,-0.326052,0.958588,-0.030280,0.029211,-0.281671,0.955087,-0.013255,0.086911,-0.282984,0.959022,-0.040197,-0.004619,-0.280428,0.959844,-0.006255,-0.014534,-0.280089,0.919545,-0.024887,-0.089816,-0.381774,0.918054,-0.057959,-0.076021,-0.384758,0.903765,-0.055214,-0.078037,-0.417218,0.885978,0.071582,0.194738,-0.414723,0.904738,0.011427,0.065795,-0.420701,0.903914,0.040267,0.052348,-0.422584,0.913344,0.030113,0.066197,-0.400642,0.912255,0.036086,0.079814,-0.400148,0.906943,0.104719,0.049438,-0.405024,0.790114,0.090618,0.072101,-0.601921,0.640265,0.387547,0.468551,-0.469391,0.633478,0.398544,0.460377,-0.477411,0.650465,0.415066,0.445539,-0.453995,0.655541,0.409822,0.438036,-0.458734,0.908890,0.050114,0.111797,-0.398634,0.909970,0.023374,0.123467,-0.395175,0.937147,0.032606,0.121356,-0.325522,0.733722,0.198727,0.595503,-0.259876,0.741862,0.165773,0.606511,-0.233032,0.735254,0.149227,0.610793,-0.253109,0.756826,0.139992,0.583851,-0.258332,0.913344,0.030113,0.066197,-0.400642,0.913344,0.030113,0.066197,-0.400642
0.937473,0.033286,0.064742,-0.340361,0.944558,0.015369,0.012302,-0.327753,0.944177,-0.030931,0.028347,-0.326757,0.958536,-0.029560,0.029774,-0.281867,0.954995,-0.012506,0.087532,-0.283137,0.958986,-0.039691,-0.004762,-0.280620,0.959789,-0.005943,-0.014628,-0.280279,0.921010,-0.023010,-0.081110,-0.380306,0.919619,-0.055593,-0.067599,-0.382938,0.902587,-0.052682,-0.069892,-0.421517,0.885534,0.068615,0.188091,-0.419218,0.903416,0.007343,0.058209,-0.424733,0.902681,0.037161,0.044156,-0.426423,0.913159,0.028973,0.066784,-0.401051,0.912071,0.034902,0.080285,-0.400578,0.906864,0.103390,0.049935,-0.405482,0.790023,0.089222,0.072267,-0.602229,0.639703,0.386908,0.469191,-0.470045,0.632936,0.397881,0.461016,-0.478065,0.649974,0.414453,0.446177,-0.454630,0.655067,0.409192,0.438665,-0.459371,0.908658,0.049057,0.112512,-0.399092,0.909709,0.022276,0.124216,-0.395606,0.936648,0.031467,0.122212,-0.326747,0.732804,0.198419,0.596024,-0.261503,0.740615,0.166916,0.606657,-0.235788,0.733450,0.149215,0.611251,-0.257212,0.755666,0.139550,0.583563,-0.262581,0.913159,0.028973,0.066784,-0.401051,0.913159,0.028973,0.066784,-0.401051
0.937023,0.032039,0.065759,-0.341522,0.944153,0.014171,0.013641,-0.328921,0.943760,-0.030694,0.029250,-0.327902,0.958380,-0.029258,0.030686,-0.282330,0.954780,-0.012160,0.088488,-0.283581,0.958860,-0.039607,-0.004533,-0.281065,0.959659,-0.006072,-0.014352,-0.280735,0.922153,-0.021483,-0.072402,-0.379383,0.920854,-0.053435,-0.059208,-0.381664,0.901232,-0.050497,-0.061733,-0.425934,0.884881,0.065330,0.181700,-0.423913,0.901901,0.002962,0.051030,-0.428907,0.901273,0.033793,0.036338,-0.430401,0.912930,0.027712,0.067696,-0.401508,0.911865,0.033468,0.080785,-0.401069,0.906765,0.101959,0.050390,-0.406009,0.789800,0.087723,0.072384,-0.602729,0.639096,0.386238,0.469658,-0.470954,0.632269,0.397316,0.461380,-0.479067,0.649073,0.413637,0.446806,-0.456040,0.653917,0.408629,0.439687,-0.460532,0.908438,0.047630,0.112980,-0.399634,0.909453,0.020554,0.124831,-0.396092,0.936676,0.029887,0.122931,-0.326548,0.731886,0.197218,0.597341,-0.261977,0.739209,0.167695,0.607371,-0.237799,0.731019,0.147701,0.612541,-0.261896,0.753602,0.137718,0.584533,-0.267280,0.912930,0.027712,0.067696,-0.401508,0.912930,0.027712,0.067696,-0.401508
