smpl_pose_0_x,smpl_pose_0_y,smpl_pose_0_z,smpl_pose_1_x,smpl_pose_1_y,smpl_pose_1_z,smpl_pose_2_x,smpl_pose_2_y,smpl_pose_2_z,smpl_pose_3_x,smpl_pose_3_y,smpl_pose_3_z,smpl_pose_4_x,smpl_pose_4_y,smpl_pose_4_z,smpl_pose_5_x,smpl_pose_5_y,smpl_pose_5_z,smpl_pose_6_x,smpl_pose_6_y,smpl_pose_6_z,smpl_pose_7_x,smpl_pose_7_y,smpl_pose_7_z,smpl_pose_8_x,smpl_pose_8_y,smpl_pose_8_z,smpl_pose_9_x,smpl_pose_9_y,smpl_pose_9_z,smpl_pose_10_x,smpl_pose_10_y,smpl_pose_10_z,smpl_pose_11_x,smpl_pose_11_y,smpl_pose_11_z,smpl_pose_12_x,smpl_pose_12_y,smpl_pose_12_z,smpl_pose_13_x,smpl_pose_13_y,smpl_pose_13_z,smpl_pose_14_x,smpl_pose_14_y,smpl_pose_14_z,smpl_pose_15_x,smpl_pose_15_y,smpl_pose_15_z,smpl_pose_16_x,smpl_pose_16_y,smpl_pose_16_z,smpl_pose_17_x,smpl_pose_17_y,smpl_pose_17_z,smpl_pose_18_x,smpl_pose_18_y,smpl_pose_18_z,smpl_pose_19_x,smpl_pose_19_y,smpl_pose_19_z,smpl_pose_20_x,smpl_pose_20_y,smpl_pose_20_z,smpl_pose_21_x,smpl_pose_21_y,smpl_pose_21_z,smpl_pose_22_x,smpl_pose_22_y,smpl_pose_22_z,smpl_pose_23_x,smpl_pose_23_y,smpl_pose_23_z
-0.143430442,-0.033403628,-0.150233924,-0.288577169,-0.010015821,0.333605409,0.083792739,0.039003201,0.232441068,0.231560200,0.092592806,0.255291015,0.242689088,0.023698550,-0.024334598,0.058454540,-0.058962066,0.107453831,-0.174541622,-0.020747468,0.064822927,0.326610059,0.203159615,-0.183234528,-0.098014630,-0.139255315,-0.012707178,0.229418933,-0.041914448,-0.052434046,-0.269112438,-0.067934737,0.131606445,-0.143772662,0.089073680,-0.211183071,-0.407829225,-0.042441271,-0.063056141,0.308103830,-0.127858460,-0.388733864,0.156433791,-0.020789169,0.208458036,0.483185500,0.144535184,-0.141026393,-0.067453884,-0.513618886,-0.887869775,-0.024130797,0.259592772,0.941126347,0.229215115,-0.525138617,-0.170599774,0.123880096,0.503590047,0.308010101,0.161515176,0.203042015,0.150243655,0.154254675,-0.169366032,-0.050881948,-0.555480182,-0.279975742,-0.176920295,-0.566822827,0.350612640,0.234543726
-0.143430442,-0.033403628,-0.150233924,-0.288577169,-0.010015821,0.333605409,0.083792739,0.039003201,0.232441068,0.231560200,0.092592806,0.255291015,0.242689088,0.023698550,-0.024334598,0.058454540,-0.058962066,0.107453831,-0.174541622,-0.020747468,0.064822927,0.326610059,0.203159615,-0.183234528,-0.098014630,-0.139255315,-0.012707178,0.229418933,-0.041914448,-0.052434046,-0.269112438,-0.067934737,0.131606445,-0.143772662,0.089073680,-0.211183071,-0.407829225,-0.042441271,-0.063056141,0.308103830,-0.127858460,-0.388733864,0.156433791,-0.020789169,0.208458036,0.483185500,0.144535184,-0.141026393,-0.067453884,-0.513618886,-0.887869775,-0.024130797,0.259592772,0.941126347,0.229215115,-0.525138617,-0.170599774,0.123880096,0.503590047,0.308010101,0.161515176,0.203042015,0.150243655,0.154254675,-0.169366032,-0.050881948,-0.555480182,-0.279975742,-0.176920295,-0.566822827,0.350612640,0.234543726
-0.143430442,-0.033403628,-0.150233924,-0.288577169,-0.010015821,0.333605409,0.083792739,0.039003201,0.232441068,0.231560200,0.092592806,0.255291015,0.242689088,0.023698550,-0.024334598,0.058454540,-0.058962066,0.107453831,-0.174541622,-0.020747468,0.064822927,0.326610059,0.203159615,-0.183234528,-0.098014630,-0.139255315,-0.012707178,0.229418933,-0.041914448,-0.052434046,-0.269112438,-0.067934737,0.131606445,-0.143772662,0.089073680,-0.211183071,-0.407829225,-0.042441271,-0.063056141,0.308103830,-0.127858460,-0.388733864,0.156433791,-0.020789169,0.208458036,0.483185500,0.144535184,-0.141026393,-0.067453884,-0.513618886,-0.887869775,-0.024130797,0.259592772,0.941126347,0.229215115,-0.525138617,-0.170599774,0.123880096,0.503590047,0.308010101,0.161515176,0.203042015,0.150243655,0.154254675,-0.169366032,-0.050881948,-0.555480182,-0.279975742,-0.176920295,-0.566822827,0.350612640,0.234543726
-0.143430442,-0.033403628,-0.150233924,-0.288577169,-0.010015821,0.333605409,0.083792739,0.039003201,0.232441068,0.231560200,0.092592806,0.255291015,0.242689088,0.023698550,-0.024334598,0.058454540,-0.058962066,0.107453831,-0.174541622,-0.020747468,0.064822927,0.326610059,0.203159615,-0.183234528,-0.098014630,-0.139255315,-0.012707178,0.229418933,-0.041914448,-0.052434046,-0.269112438,-0.067934737,0.131606445,-0.143772662,0.089073680,-0.211183071,-0.407829225,-0.042441271,-0.063056141,0.308103830,-0.127858460,-0.388733864,0.156433791,-0.020789169,0.208458036,0.483185500,0.144535184,-0.141026393,-0.067453884,-0.513618886,-0.887869775,-0.024130797,0.259592772,0.941126347,0.229215115,-0.525138617,-0.170599774,0.123880096,0.503590047,0.308010101,0.161515176,0.203042015,0.150243655,0.154254675,-0.169366032,-0.050881948,-0.555480182,-0.279975742,-0.176920295,-0.566822827,0.350612640,0.234543726
-0.143430442,-0.033403628,-0.150233924,-0.288577169,-0.010015821,0.333605409,0.083792739,0.039003201,0.232441068,0.231560200,0.092592806,0.255291015,0.242689088,0.023698550,-0.024334598,0.058454540,-0.058962066,0.107453831,-0.174541622,-0.020747468,0.064822927,0.326610059,0.203159615,-0.183234528,-0.098014630,-0.139255315,-0.012707178,0.229418933,-0.041914448,-0.052434046,-0.269112438,-0.067934737,0.131606445,-0.143772662,0.089073680,-0.211183071,-0.407829225,-0.042441271,-0.063056141,0.308103830,-0.127858460,-0.388733864,0.156433791,-0.020789169,0.208458036,0.483185500,0.144535184,-0.141026393,-0.067453884,-0.513618886,-0.887869775,-0.024130797,0.259592772,0.941126347,0.229215115,-0.525138617,-0.170599774,0.123880096,0.503590047,0.308010101,0.161515176,0.203042015,0.150243655,0.154254675,-0.169366032,-0.050881948,-0.555480182,-0.279975742,-0.176920295,-0.566822827,0.350612640,0.234543726
-0.143430442,-0.033403628,-0.150233924,-0.288577169,-0.010015821,0.333605409,0.083792739,0.039003201,0.232441068,0.231560200,0.092592806,0.255291015,0.242689088,0.023698550,-0.024334598,0.058454540,-0.058962066,0.107453831,-0.174541622,-0.020747468,0.064822927,0.326610059,0.203159615,-0.183234528,-0.098014630,-0.139255315,-0.012707178,0.229418933,-0.041914448,-0.052434046,-0.269112438,-0.067934737,0.131606445,-0.143772662,0.089073680,-0.211183071,-0.407829225,-0.042441271,-0.063056141,0.308103830,-0.127858460,-0.388733864,0.156433791,-0.020789169,0.208458036,0.483185500,0.144535184,-0.141026393,-0.067453884,-0.513618886,-0.887869775,-0.024130797,0.259592772,0.941126347,0.229215115,-0.525138617,-0.170599774,0.123880096,0.503590047,0.308010101,0.161515176,0.203042015,0.150243655,0.154254675,-0.169366032,-0.050881948,-0.555480182,-0.279975742,-0.176920295,-0.566822827,0.350612640,0.234543726
-0.143430442,-0.033403628,-0.150233924,-0.288577169,-0.010015821,0.333605409,0.083792739,0.039003201,0.232441068,0.231560200,0.092592806,0.255291015,0.242689088,0.023698550,-0.024334598,0.058454540,-0.058962066,0.107453831,-0.174541622,-0.020747468,0.064822927,0.326610059,0.203159615,-0.183234528,-0.098014630,-0.139255315,-0.012707178,0.229418933,-0.041914448,-0.052434046,-0.269112438,-0.067934737,0.131606445,-0.143772662,0.089073680,-0.211183071,-0.407829225,-0.042441271,-0.063056141,0.308103830,-0.127858460,-0.388733864,0.156433791,-0.020789169,0.208458036,0.483185500,0.144535184,-0.141026393,-0.067453884,-0.513618886,-0.887869775,-0.024130797,0.259592772,0.941126347,0.229215115,-0.525138617,-0.170599774,0.123880096,0.503590047,0.308010101,0.161515176,0.203042015,0.150243655,0.154254675,-0.169366032,-0.050881948,-0.555480182,-0.279975742,-0.176920295,-0.566822827,0.350612640,0.234543726
-0.143430442,-0.033403628,-0.150233924,-0.288577169,-0.010015821,0.333605409,0.083792739,0.039003201,0.232441068,0.231560200,0.092592806,0.255291015,0.242689088,0.023698550,-0.024334598,0.058454540,-0.058962066,0.107453831,-0.174541622,-0.020747468,0.064822927,0.326610059,0.203159615,-0.183234528,-0.098014630,-0.139255315,-0.012707178,0.229418933,-0.041914448,-0.052434046,-0.269112438,-0.067934737,0.131606445,-0.143772662,0.089073680,-0.211183071,-0.407829225,-0.042441271,-0.063056141,0.308103830,-0.127858460,-0.388733864,0.156433791,-0.020789169,0.208458036,0.483185500,0.144535184,-0.141026393,-0.067453884,-0.513618886,-0.887869775,-0.024130797,0.259592772,0.941126347,0.229215115,-0.525138617,-0.170599774,0.123880096,0.503590047,0.308010101,0.161515176,0.203042015,0.150243655,0.154254675,-0.169366032,-0.050881948,-0.555480182,-0.279975742,-0.176920295,-0.566822827,0.350612640,0.234543726
-0.143430442,-0.033403628,-0.150233924,-0.288577169,-0.010015821,0.333605409,0.083792739,0.039003201,0.232441068,0.231560200,0.092592806,0.255291015,0.242689088,0.023698550,-0.024334598,0.058454540,-0.058962066,0.107453831,-0.174541622,-0.020747468,0.064822927,0.326610059,0.203159615,-0.183234528,-0.098014630,-0.139255315,-0.012707178,0.229418933,-0.041914448,-0.052434046,-0.269112438,-0.067934737,0.131606445,-0.143772662,0.089073680,-0.211183071,-0.407829225,-0.042441271,-0.063056141,0.308103830,-0.127858460,-0.388733864,0.156433791,-0.020789169,0.208458036,0.483185500,0.144535184,-0.141026393,-0.067453884,-0.513618886,-0.887869775,-0.024130797,0.259592772,0.941126347,0.229215115,-0.525138617,-0.170599774,0.123880096,0.503590047,0.308010101,0.161515176,0.203042015,0.150243655,0.154254675,-0.169366032,-0.050881948,-0.555480182,-0.279975742,-0.176920295,-0.566822827,0.350612640,0.234543726
-0.143430442,-0.033403628,-0.150233924,-0.288577169,-0.010015821,0.333605409,0.083792739,0.039003201,0.232441068,0.231560200,0.092592806,0.255291015,0.242689088,0.023698550,-0.024334598,0.058454540,-0.058962066,0.107453831,-0.174541622,-0.020747468,0.064822927,0.326610059,0.203159615,-0.183234528,-0.098014630,-0.139255315,-0.012707178,0.229418933,-0.041914448,-0.052434046,-0.269112438,-0.067934737,0.131606445,-0.143772662,0.089073680,-0.211183071,-0.407829225,-0.042441271,-0.063056141,0.308103830,-0.127858460,-0.388733864,0.156433791,-0.020789169,0.208458036,0.483185500,0.144535184,-0.141026393,-0.067453884,-0.513618886,-0.887869775,-0.024130797,0.259592772,0.941126347,0.229215115,-0.525138617,-0.170599774,0.123880096,0.503590047,0.308010101,0.161515176,0.203042015,0.150243655,0.154254675,-0.169366032,-0.050881948,-0.555480182,-0.279975742,-0.176920295,-0.566822827,0.350612640,0.234543726
