root_w,root_x,root_y,root_z
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691410303,-0.103634685,0.002400961,-0.714986682
0.691614628,-0.103107251,0.002426064,-0.714865148
0.691818833,-0.102579758,0.002451169,-0.714743376
0.692022741,-0.102052182,0.002476274,-0.714621365
0.692226410,-0.101524554,0.002501380,-0.714499176
0.692429960,-0.100996844,0.002526487,-0.714376628
0.692633212,-0.100469075,0.002551595,-0.714253962
0.692836285,-0.099941231,0.002576703,-0.714130938
0.693039119,-0.099413320,0.002601813,-0.714007735
0.693241775,-0.098885350,0.002626923,-0.713884234
0.693444133,-0.098357312,0.002652033,-0.713760555
0.693646312,-0.097829215,0.002677144,-0.713636518
0.693848252,-0.097301036,0.002702256,-0.713512301
0.694050014,-0.096772812,0.002727368,-0.713387787
0.694251478,-0.096244514,0.002752481,-0.713263094
0.694452822,-0.095716164,0.002777595,-0.713138163
0.694653869,-0.095187746,0.002802708,-0.713012934
0.694854677,-0.094659254,0.002827823,-0.712887526
0.695055366,-0.094130717,0.002852938,-0.712761760
0.695255756,-0.093602113,0.002878053,-0.712635875
0.695455968,-0.093073450,0.002903169,-0.712509632
0.695655823,-0.092544720,0.002928285,-0.712383211
0.695855618,-0.092015944,0.002953402,-0.712256491
0.696055114,-0.091487095,0.002978518,-0.712129593
0.696254432,-0.090958193,0.003003635,-0.712002397
0.696453512,-0.090429239,0.003028752,-0.711874962
0.696652293,-0.089900225,0.003053870,-0.711747289
0.696850836,-0.089371152,0.003078987,-0.711619377
0.697049320,-0.088842027,0.003104105,-0.711491168
0.697247446,-0.088312849,0.003129224,-0.711362839
0.697445393,-0.087783612,0.003154342,-0.711234152
0.697643161,-0.087254308,0.003179461,-0.711105287
0.697840571,-0.086724959,0.003204579,-0.710976064
0.698037803,-0.086195558,0.003229697,-0.710846722
0.698234916,-0.085666113,0.003254816,-0.710717082
0.698431671,-0.085136607,0.003279935,-0.710587204
0.698628366,-0.084607050,0.003305054,-0.710457027
0.698824704,-0.084077440,0.003330172,-0.710326731
0.699020743,-0.083547778,0.003355291,-0.710196078
0.699216664,-0.083018064,0.003380409,-0.710065126
0.699412346,-0.082488306,0.003405527,-0.709934115
0.699607790,-0.081958503,0.003430646,-0.709802806
0.699802995,-0.081428632,0.003455764,-0.709671140
0.699998081,-0.080898732,0.003480882,-0.709539294
0.700192809,-0.080368772,0.003505999,-0.709407210
0.700387359,-0.079838783,0.003531117,-0.709274888
0.700581610,-0.079308733,0.003556234,-0.709142327
0.700775683,-0.078778639,0.003581352,-0.709009588
0.700969517,-0.078248501,0.003606468,-0.708876491
0.701163232,-0.077718310,0.003631584,-0.708743155
0.701356590,-0.077188089,0.003656700,-0.708609581
0.701549709,-0.076657817,0.003681816,-0.708475828
0.701742649,-0.076127507,0.003706931,-0.708341837
0.701935351,-0.075597145,0.003732046,-0.708207548
0.702127874,-0.075066738,0.003757160,-0.708073020
0.702320099,-0.074536301,0.003782274,-0.707938254
0.702512085,-0.074005812,0.003807387,-0.707803249
0.702703834,-0.073475294,0.003832500,-0.707668066
0.702895343,-0.072944731,0.003857612,-0.707532525
0.703086674,-0.072414130,0.003882724,-0.707396746
0.703277826,-0.071883477,0.003907835,-0.707260787
0.703468621,-0.071352795,0.003932944,-0.707124591
0.703659236,-0.070822075,0.003958054,-0.706988156
0.703849673,-0.070291318,0.003983163,-0.706851423
0.704039752,-0.069760524,0.004008272,-0.706714451
0.704229712,-0.069229692,0.004033379,-0.706577301
0.704419374,-0.068698831,0.004058486,-0.706439912
0.704608798,-0.068167925,0.004083592,-0.706302226
0.704798043,-0.067636989,0.004108697,-0.706164300
0.704987049,-0.067106016,0.004133801,-0.706026196
0.705175817,-0.066575013,0.004158905,-0.705887794
0.705364347,-0.066043973,0.004184007,-0.705749154
0.705552578,-0.065512903,0.004209109,-0.705610335
0.705740631,-0.064981796,0.004234209,-0.705471158
0.705928445,-0.064450666,0.004259309,-0.705331862
0.706116021,-0.063919507,0.004284407,-0.705192208
0.706303358,-0.063388310,0.004309505,-0.705052376
0.706490457,-0.062857091,0.004334602,-0.704912305
0.706677377,-0.062325835,0.004359698,-0.704772055
0.706863999,-0.061794546,0.004384791,-0.704631448
0.707050443,-0.061263230,0.004409885,-0.704490662
0.707236588,-0.060731888,0.004434977,-0.704349637
0.707422495,-0.060200520,0.004460068,-0.704208374
0.707608163,-0.059669130,0.004485158,-0.704066873
0.707793653,-0.059137709,0.004510247,-0.703925133
0.707978785,-0.058606256,0.004535334,-0.703783095
0.708163798,-0.058074787,0.004560420,-0.703640938
0.708348572,-0.057543293,0.004585505,-0.703498423
0.708533108,-0.057011772,0.004610588,-0.703355730
0.708717346,-0.056480225,0.004635670,-0.703212738
0.708901405,-0.055948664,0.004660751,-0.703069627
0.709085107,-0.055417065,0.004685830,-0.702926159
0.709268689,-0.054885458,0.004710908,-0.702782512
0.709452033,-0.054353826,0.004735985,-0.702638626
0.709635139,-0.053822175,0.004761060,-0.702494442
0.709818006,-0.053290501,0.004786133,-0.702350140
0.710000575,-0.052758805,0.004811205,-0.702205539
0.710182905,-0.052227087,0.004836275,-0.702060640
0.710365057,-0.051695362,0.004861344,-0.701915562
0.710546911,-0.051163614,0.004886411,-0.701770306
0.710728586,-0.050631844,0.004911476,-0.701624691
0.710910022,-0.050100058,0.004936540,-0.701478899
0.711091161,-0.049568262,0.004961602,-0.701332867
0.711272120,-0.049036447,0.004986663,-0.701186597
0.711452723,-0.048504610,0.005011722,-0.701040089
0.711633265,-0.047972765,0.005036779,-0.700893342
0.711813390,-0.047440901,0.005061833,-0.700746357
0.711993396,-0.046909016,0.005086887,-0.700599074
0.712173104,-0.046377130,0.005111938,-0.700451672
0.712352574,-0.045845229,0.005136988,-0.700303972
0.712531745,-0.045313314,0.005162036,-0.700156033
0.712710738,-0.044781391,0.005187082,-0.700007915
0.712889552,-0.044249453,0.005212125,-0.699859560
0.713068008,-0.043717507,0.005237167,-0.699710846
0.713246346,-0.043185551,0.005262207,-0.699562013
0.713424325,-0.042653583,0.005287245,-0.699412882
0.713602066,-0.042121608,0.005312281,-0.699263632
0.713779688,-0.041589629,0.005337315,-0.699114025
0.713956892,-0.041057631,0.005362347,-0.698964179
0.714134037,-0.040525623,0.005387377,-0.698814273
0.714310825,-0.039993618,0.005412404,-0.698663950
0.714487433,-0.039461605,0.005437430,-0.698513448
0.714663684,-0.038929585,0.005462452,-0.698362708
0.714839756,-0.038397562,0.005487474,-0.698211730
0.715015590,-0.037865534,0.005512492,-0.698060572
0.715191185,-0.037333503,0.005537509,-0.697909117
0.715366542,-0.036801465,0.005562523,-0.697757423
0.715541601,-0.036269426,0.005587535,-0.697605491
0.715716481,-0.035737380,0.005612544,-0.697453380
0.715891063,-0.035205334,0.005637551,-0.697301030
0.716065466,-0.034673292,0.005662556,-0.697148502
0.716239631,-0.034141246,0.005687558,-0.696995556
0.716413438,-0.033609189,0.005712558,-0.696842551
0.716587067,-0.033077147,0.005737556,-0.696689248
0.716760576,-0.032545105,0.005762551,-0.696535707
0.716933608,-0.032013055,0.005787543,-0.696381927
0.717106521,-0.031481013,0.005812533,-0.696228027
0.717279136,-0.030948970,0.005837520,-0.696073771
0.717451513,-0.030416938,0.005862505,-0.695919335
0.717623770,-0.029884905,0.005887487,-0.695764601
0.717795610,-0.029352872,0.005912466,-0.695609748
0.717967272,-0.028820843,0.005937442,-0.695454538
0.718138695,-0.028288823,0.005962417,-0.695299208
0.718309879,-0.027756810,0.005987389,-0.695143640
0.718480825,-0.027224792,0.006012357,-0.694987774
0.718651474,-0.026692789,0.006037323,-0.694831729
0.718821943,-0.026160793,0.006062286,-0.694675386
0.718992054,-0.025628805,0.006087245,-0.694518864
0.719162047,-0.025096828,0.006112204,-0.694362164
0.719331741,-0.024564855,0.006137158,-0.694205165
0.719501138,-0.024032895,0.006162110,-0.694047928
0.719670296,-0.023500944,0.006187059,-0.693890572
0.719839275,-0.022969000,0.006212004,-0.693732858
0.720007896,-0.022437070,0.006236947,-0.693574905
0.720176399,-0.021905152,0.006261887,-0.693416834
0.720344603,-0.021373246,0.006286823,-0.693258524
0.720512509,-0.020841353,0.006311757,-0.693099916
0.720680237,-0.020309463,0.006336688,-0.692941070
0.720847666,-0.019777596,0.006361615,-0.692782104
0.721014857,-0.019245742,0.006386540,-0.692622781
0.721181810,-0.018713901,0.006411461,-0.692463279
0.721348524,-0.018182078,0.006436380,-0.692303658
0.721515000,-0.017650273,0.006461295,-0.692143679
0.721681178,-0.017118480,0.006486206,-0.691983521
0.721847117,-0.016586704,0.006511115,-0.691823065
0.722012818,-0.016054945,0.006536020,-0.691662431
0.722178221,-0.015523207,0.006560922,-0.691501677
0.722343445,-0.014991486,0.006585821,-0.691340625
0.722508371,-0.014459783,0.006610715,-0.691179276
0.722673118,-0.013928095,0.006635609,-0.691017807
0.722837508,-0.013396432,0.006660496,-0.690856040
0.723001719,-0.012864790,0.006685381,-0.690694034
0.723165691,-0.012333169,0.006710263,-0.690531909
0.723329365,-0.011801570,0.006735141,-0.690369427
0.723492801,-0.011269993,0.006760016,-0.690206826
0.723655999,-0.010738439,0.006784888,-0.690043986
0.723818958,-0.010206906,0.006809754,-0.689880848
0.723981619,-0.009675399,0.006834618,-0.689717531
0.724144042,-0.009143917,0.006859479,-0.689553976
0.724306226,-0.008612458,0.006884336,-0.689390242
0.724468172,-0.008081025,0.006909190,-0.689226270
0.724629819,-0.007549618,0.006934038,-0.689062059
0.724791288,-0.007018232,0.006958885,-0.688897669
0.724952459,-0.006486879,0.006983727,-0.688732922
0.725113332,-0.005955553,0.007008566,-0.688568175
0.725274026,-0.005424255,0.007033401,-0.688403010
0.725434482,-0.004892985,0.007058232,-0.688237727
0.725594580,-0.004361745,0.007083058,-0.688072205
0.725754499,-0.003830535,0.007107882,-0.687906384
0.725914121,-0.003299354,0.007132700,-0.687740386
0.726073623,-0.002768205,0.007157517,-0.687574208
0.726232767,-0.002237087,0.007182328,-0.687407792
0.726391613,-0.001706000,0.007207136,-0.687241137
0.726550221,-0.001174946,0.007231940,-0.687074244
0.726708591,-0.000643918,0.007256740,-0.686907172
0.726866722,-0.000112930,0.007281535,-0.686739922
0.727024674,0.000418024,0.007306328,-0.686572313
0.727182269,0.000948943,0.007331115,-0.686404645
0.727339625,0.001479828,0.007355899,-0.686236680
0.727496743,0.002010677,0.007380678,-0.686068475
0.727653623,0.002541490,0.007405453,-0.685900092
0.727653623,0.002541490,0.007405453,-0.685900092
0.727697134,0.002323151,0.007343768,-0.685855389
0.727697134,0.002323151,0.007343768,-0.685855389
0.727713048,0.002258289,0.006994139,-0.685842335
0.727713048,0.002258289,0.006994139,-0.685842335
0.727857053,0.002252705,0.006340018,-0.685695946
0.727990270,0.002250306,0.005932814,-0.685558081
0.727990270,0.002250306,0.005932814,-0.685558081
0.727907121,0.002020163,0.005798058,-0.685648263
0.727907121,0.002020163,0.005798058,-0.685648263
0.727988601,0.001942363,0.005806956,-0.685561895
0.728059709,0.002045434,0.005872805,-0.685485542
0.728059709,0.002045434,0.005872805,-0.685485542
0.728072226,0.002041792,0.006291294,-0.685468614
0.728072226,0.002041792,0.006291294,-0.685468614
0.728043377,0.002044208,0.006468765,-0.685497582
0.728244185,0.002163721,0.006551551,-0.685283065
0.728244185,0.002163721,0.006551551,-0.685283065
0.728337944,0.002079371,0.006504769,-0.685184062
0.728337944,0.002079371,0.006504769,-0.685184062
0.728258371,0.002011929,0.006558742,-0.685268402
0.728188634,0.002158258,0.006353643,-0.685343981
0.728188634,0.002158258,0.006353643,-0.685343981
0.728083611,0.001960134,0.006178879,-0.685457706
0.727841854,0.001724428,0.006120140,-0.685715675
0.727841854,0.001724428,0.006120140,-0.685715675
0.727766693,0.001727320,0.006024145,-0.685796201
0.727766693,0.001727320,0.006024145,-0.685796201
0.727766454,0.001206592,0.005968377,-0.685798109
0.727766454,0.001206592,0.005968377,-0.685798109
0.727804303,0.000973134,0.005923838,-0.685758591
0.727944374,0.001155832,0.005763552,-0.685611010
0.727944374,0.001155832,0.005763552,-0.685611010
0.727705538,0.000895986,0.005837908,-0.685864270
0.727568984,0.000853212,0.005824891,-0.686009288
0.727568984,0.000853212,0.005824891,-0.686009288
0.727560818,0.000782833,0.005692855,-0.686019242
0.727560818,0.000782833,0.005692855,-0.686019242
0.727591217,0.000785280,0.005505633,-0.685988486
0.727591217,0.000785280,0.005505633,-0.685988486
0.727605700,0.000766089,0.005316207,-0.685974598
0.727595687,0.000528567,0.005208619,-0.685986280
0.727595687,0.000528567,0.005208619,-0.685986280
0.727644086,0.000405388,0.005139275,-0.685935497
0.727644086,0.000405388,0.005139275,-0.685935497
0.727649093,0.000443980,0.005019262,-0.685931087
0.727719843,0.000568036,0.004932757,-0.685856640
0.727719843,0.000568036,0.004932757,-0.685856640
0.727881730,0.000599602,0.004892965,-0.685684979
0.728046834,0.000442779,0.004819596,-0.685510337
0.728046834,0.000442779,0.004819596,-0.685510337
0.728028715,0.000634938,0.005048245,-0.685527742
0.728028715,0.000634938,0.005048245,-0.685527742
0.728021622,0.000828838,0.005182767,-0.685534120
0.728135586,0.000865968,0.005018560,-0.685414195
0.728135586,0.000865968,0.005018560,-0.685414195
0.728318512,0.000898643,0.005075173,-0.685219467
0.728318512,0.000898643,0.005075173,-0.685219467
0.728442073,0.000841046,0.005078292,-0.685088158
0.728442073,0.000841046,0.005078292,-0.685088158
0.728542447,0.000883904,0.005070957,-0.684981346
0.728571594,0.000971320,0.005144713,-0.684949696
0.728571594,0.000971320,0.005144713,-0.684949696
0.728658319,0.000868276,0.005139038,-0.684857607
0.728835046,0.000855850,0.005081726,-0.684670031
0.728835046,0.000855850,0.005081726,-0.684670031
0.728941739,0.000737301,0.004742988,-0.684558928
0.728941739,0.000737301,0.004742988,-0.684558928
0.728925347,0.000680022,0.004687853,-0.684576869
0.728847980,0.000747213,0.004971733,-0.684657097
