body_quat_w_0,body_quat_w_1,body_quat_w_2,body_quat_w_3,body_quat_w_4,body_quat_w_5,body_quat_w_6,body_quat_w_7,body_quat_w_8,body_quat_w_9,body_quat_w_10,body_quat_w_11,body_quat_w_12,body_quat_w_13,body_quat_w_14,body_quat_w_15,body_quat_w_16,body_quat_w_17,body_quat_w_18,body_quat_w_19,body_quat_w_20,body_quat_w_21,body_quat_w_22,body_quat_w_23,body_quat_w_24,body_quat_w_25,body_quat_w_26,body_quat_w_27,body_quat_w_28,body_quat_w_29,body_quat_w_30,body_quat_w_31,body_quat_w_32,body_quat_w_33,body_quat_w_34,body_quat_w_35,body_quat_w_36,body_quat_w_37,body_quat_w_38,body_quat_w_39,body_quat_w_40,body_quat_w_41,body_quat_w_42,body_quat_w_43,body_quat_w_44,body_quat_w_45,body_quat_w_46,body_quat_w_47,body_quat_w_48,body_quat_w_49,body_quat_w_50,body_quat_w_51,body_quat_w_52,body_quat_w_53,body_quat_w_54,body_quat_w_55,body_quat_w_56,body_quat_w_57,body_quat_w_58,body_quat_w_59,body_quat_w_60,body_quat_w_61,body_quat_w_62,body_quat_w_63,body_quat_w_64,body_quat_w_65,body_quat_w_66,body_quat_w_67,body_quat_w_68,body_quat_w_69,body_quat_w_70,body_quat_w_71,body_quat_w_72,body_quat_w_73,body_quat_w_74,body_quat_w_75,body_quat_w_76,body_quat_w_77,body_quat_w_78,body_quat_w_79,body_quat_w_80,body_quat_w_81,body_quat_w_82,body_quat_w_83,body_quat_w_84,body_quat_w_85,body_quat_w_86,body_quat_w_87,body_quat_w_88,body_quat_w_89,body_quat_w_90,body_quat_w_91,body_quat_w_92,body_quat_w_93,body_quat_w_94,body_quat_w_95,body_quat_w_96,body_quat_w_97,body_quat_w_98,body_quat_w_99,body_quat_w_100,body_quat_w_101,body_quat_w_102,body_quat_w_103,body_quat_w_104,body_quat_w_105,body_quat_w_106,body_quat_w_107,body_quat_w_108,body_quat_w_109,body_quat_w_110,body_quat_w_111,body_quat_w_112,body_quat_w_113,body_quat_w_114,body_quat_w_115,body_quat_w_116,body_quat_w_117,body_quat_w_118,body_quat_w_119
1.000000000,0.000000000,0.000000000,0.000000000,0.995004177,0.000000000,-0.096431971,0.025837682,0.995004177,0.000000000,-0.096431971,0.025837682,0.995004177,0.000000000,-0.096431971,0.025837682,0.994328380,-0.005133155,0.103167057,0.025322648,0.999660432,-0.002579464,0.003384451,0.025708601,0.999660432,-0.002579464,0.003384451,0.025708601,0.995004177,0.000000000,-0.096431971,-0.025837682,0.995004177,0.000000000,-0.096431971,-0.025837682,0.995004177,0.000000000,-0.096431971,-0.025837682,0.994328380,0.005133155,0.103167057,-0.025322648,0.999660432,0.002579464,0.003384451,-0.025708601,0.999660432,0.002579464,0.003384451,-0.025708601,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.995004177,0.099833414,0.000000000,0.000000000,0.995004177,0.099833414,0.000000000,0.000000000,0.821212351,0.082396075,0.561821640,0.056370188,0.821212351,0.082396075,0.561821640,0.056370188,0.821212351,0.082396075,0.561821640,0.056370188,0.821212351,0.082396075,0.561821640,0.056370188,1.000000000,0.000000000,0.000000000,0.000000000,0.995004177,-0.099833414,0.000000000,0.000000000,0.995004177,-0.099833414,0.000000000,0.000000000,0.821212351,-0.082396075,0.561821640,-0.056370188,0.821212351,-0.082396075,0.561821640,-0.056370188,0.821212351,-0.082396075,0.561821640,-0.056370188,0.821212351,-0.082396075,0.561821640,-0.056370188,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
1.000000000,0.000000000,0.000000000,0.000000000,0.995004177,0.000000000,-0.096431971,0.025837682,0.995004177,0.000000000,-0.096431971,0.025837682,0.995004177,0.000000000,-0.096431971,0.025837682,0.994328380,-0.005133155,0.103167057,0.025322648,0.999660432,-0.002579464,0.003384451,0.025708601,0.999660432,-0.002579464,0.003384451,0.025708601,0.995004177,0.000000000,-0.096431971,-0.025837682,0.995004177,0.000000000,-0.096431971,-0.025837682,0.995004177,0.000000000,-0.096431971,-0.025837682,0.994328380,0.005133155,0.103167057,-0.025322648,0.999660432,0.002579464,0.003384451,-0.025708601,0.999660432,0.002579464,0.003384451,-0.025708601,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.995004177,0.099833414,0.000000000,0.000000000,0.995004177,0.099833414,0.000000000,0.000000000,0.821212351,0.082396075,0.561821640,0.056370188,0.821212351,0.082396075,0.561821640,0.056370188,0.821212351,0.082396075,0.561821640,0.056370188,0.821212351,0.082396075,0.561821640,0.056370188,1.000000000,0.000000000,0.000000000,0.000000000,0.995004177,-0.099833414,0.000000000,0.000000000,0.995004177,-0.099833414,0.000000000,0.000000000,0.821212351,-0.082396075,0.561821640,-0.056370188,0.821212351,-0.082396075,0.561821640,-0.056370188,0.821212351,-0.082396075,0.561821640,-0.056370188,0.821212351,-0.082396075,0.561821640,-0.056370188,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
1.000000000,0.000000000,0.000000000,0.000000000,0.995004177,0.000000000,-0.096431971,0.025837682,0.995004177,0.000000000,-0.096431971,0.025837682,0.995004177,0.000000000,-0.096431971,0.025837682,0.994328380,-0.005133155,0.103167057,0.025322648,0.999660432,-0.002579464,0.003384451,0.025708601,0.999660432,-0.002579464,0.003384451,0.025708601,0.995004177,0.000000000,-0.096431971,-0.025837682,0.995004177,0.000000000,-0.096431971,-0.025837682,0.995004177,0.000000000,-0.096431971,-0.025837682,0.994328380,0.005133155,0.103167057,-0.025322648,0.999660432,0.002579464,0.003384451,-0.025708601,0.999660432,0.002579464,0.003384451,-0.025708601,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.995004177,0.099833414,0.000000000,0.000000000,0.995004177,0.099833414,0.000000000,0.000000000,0.821212351,0.082396075,0.561821640,0.056370188,0.821212351,0.082396075,0.561821640,0.056370188,0.821212351,0.082396075,0.561821640,0.056370188,0.821212351,0.082396075,0.561821640,0.056370188,1.000000000,0.000000000,0.000000000,0.000000000,0.995004177,-0.099833414,0.000000000,0.000000000,0.995004177,-0.099833414,0.000000000,0.000000000,0.821212351,-0.082396075,0.561821640,-0.056370188,0.821212351,-0.082396075,0.561821640,-0.056370188,0.821212351,-0.082396075,0.561821640,-0.056370188,0.821212351,-0.082396075,0.561821640,-0.056370188,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
1.000000000,0.000000000,0.000000000,0.000000000,0.995004177,0.000000000,-0.096431971,0.025837682,0.995004177,0.000000000,-0.096431971,0.025837682,0.995004177,0.000000000,-0.096431971,0.025837682,0.994328380,-0.005133155,0.103167057,0.025322648,0.999660432,-0.002579464,0.003384451,0.025708601,0.999660432,-0.002579464,0.003384451,0.025708601,0.995004177,0.000000000,-0.096431971,-0.025837682,0.995004177,0.000000000,-0.096431971,-0.025837682,0.995004177,0.000000000,-0.096431971,-0.025837682,0.994328380,0.005133155,0.103167057,-0.025322648,0.999660432,0.002579464,0.003384451,-0.025708601,0.999660432,0.002579464,0.003384451,-0.025708601,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.995004177,0.099833414,0.000000000,0.000000000,0.995004177,0.099833414,0.000000000,0.000000000,0.821212351,0.082396075,0.561821640,0.056370188,0.821212351,0.082396075,0.561821640,0.056370188,0.821212351,0.082396075,0.561821640,0.056370188,0.821212351,0.082396075,0.561821640,0.056370188,1.000000000,0.000000000,0.000000000,0.000000000,0.995004177,-0.099833414,0.000000000,0.000000000,0.995004177,-0.099833414,0.000000000,0.000000000,0.821212351,-0.082396075,0.561821640,-0.056370188,0.821212351,-0.082396075,0.561821640,-0.056370188,0.821212351,-0.082396075,0.561821640,-0.056370188,0.821212351,-0.082396075,0.561821640,-0.056370188,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
1.000000000,0.000000000,0.000000000,0.000000000,0.995004177,0.000000000,-0.096431971,0.025837682,0.995004177,0.000000000,-0.096431971,0.025837682,0.995004177,0.000000000,-0.096431971,0.025837682,0.994328380,-0.005133155,0.103167057,0.025322648,0.999660432,-0.002579464,0.003384451,0.025708601,0.999660432,-0.002579464,0.003384451,0.025708601,0.995004177,0.000000000,-0.096431971,-0.025837682,0.995004177,0.000000000,-0.096431971,-0.025837682,0.995004177,0.000000000,-0.096431971,-0.025837682,0.994328380,0.005133155,0.103167057,-0.025322648,0.999660432,0.002579464,0.003384451,-0.025708601,0.999660432,0.002579464,0.003384451,-0.025708601,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.995004177,0.099833414,0.000000000,0.000000000,0.995004177,0.099833414,0.000000000,0.000000000,0.821212351,0.082396075,0.561821640,0.056370188,0.821212351,0.082396075,0.561821640,0.056370188,0.821212351,0.082396075,0.561821640,0.056370188,0.821212351,0.082396075,0.561821640,0.056370188,1.000000000,0.000000000,0.000000000,0.000000000,0.995004177,-0.099833414,0.000000000,0.000000000,0.995004177,-0.099833414,0.000000000,0.000000000,0.821212351,-0.082396075,0.561821640,-0.056370188,0.821212351,-0.082396075,0.561821640,-0.056370188,0.821212351,-0.082396075,0.561821640,-0.056370188,0.821212351,-0.082396075,0.561821640,-0.056370188,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
1.000000000,0.000000000,0.000000000,0.000000000,0.995004177,0.000000000,-0.096431971,0.025837682,0.995004177,0.000000000,-0.096431971,0.025837682,0.995004177,0.000000000,-0.096431971,0.025837682,0.994328380,-0.005133155,0.103167057,0.025322648,0.999660432,-0.002579464,0.003384451,0.025708601,0.999660432,-0.002579464,0.003384451,0.025708601,0.995004177,0.000000000,-0.096431971,-0.025837682,0.995004177,0.000000000,-0.096431971,-0.025837682,0.995004177,0.000000000,-0.096431971,-0.025837682,0.994328380,0.005133155,0.103167057,-0.025322648,0.999660432,0.002579464,0.003384451,-0.025708601,0.999660432,0.002579464,0.003384451,-0.025708601,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.995004177,0.099833414,0.000000000,0.000000000,0.995004177,0.099833414,0.000000000,0.000000000,0.821212351,0.082396075,0.561821640,0.056370188,0.821212351,0.082396075,0.561821640,0.056370188,0.821212351,0.082396075,0.561821640,0.056370188,0.821212351,0.082396075,0.561821640,0.056370188,1.000000000,0.000000000,0.000000000,0.000000000,0.995004177,-0.099833414,0.000000000,0.000000000,0.995004177,-0.099833414,0.000000000,0.000000000,0.821212351,-0.082396075,0.561821640,-0.056370188,0.821212351,-0.082396075,0.561821640,-0.056370188,0.821212351,-0.082396075,0.561821640,-0.056370188,0.821212351,-0.082396075,0.561821640,-0.056370188,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
1.000000000,0.000000000,0.000000000,0.000000000,0.995004177,0.000000000,-0.096431971,0.025837682,0.995004177,0.000000000,-0.096431971,0.025837682,0.995004177,0.000000000,-0.096431971,0.025837682,0.994328380,-0.005133155,0.103167057,0.025322648,0.999660432,-0.002579464,0.003384451,0.025708601,0.999660432,-0.002579464,0.003384451,0.025708601,0.995004177,0.000000000,-0.096431971,-0.025837682,0.995004177,0.000000000,-0.096431971,-0.025837682,0.995004177,0.000000000,-0.096431971,-0.025837682,0.994328380,0.005133155,0.103167057,-0.025322648,0.999660432,0.002579464,0.003384451,-0.025708601,0.999660432,0.002579464,0.003384451,-0.025708601,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.995004177,0.099833414,0.000000000,0.000000000,0.995004177,0.099833414,0.000000000,0.000000000,0.821212351,0.082396075,0.561821640,0.056370188,0.821212351,0.082396075,0.561821640,0.056370188,0.821212351,0.082396075,0.561821640,0.056370188,0.821212351,0.082396075,0.561821640,0.056370188,1.000000000,0.000000000,0.000000000,0.000000000,0.995004177,-0.099833414,0.000000000,0.000000000,0.995004177,-0.099833414,0.000000000,0.000000000,0.821212351,-0.082396075,0.561821640,-0.056370188,0.821212351,-0.082396075,0.561821640,-0.056370188,0.821212351,-0.082396075,0.561821640,-0.056370188,0.821212351,-0.082396075,0.561821640,-0.056370188,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
1.000000000,0.000000000,0.000000000,0.000000000,0.995004177,0.000000000,-0.096431971,0.025837682,0.995004177,0.000000000,-0.096431971,0.025837682,0.995004177,0.000000000,-0.096431971,0.025837682,0.994328380,-0.005133155,0.103167057,0.025322648,0.999660432,-0.002579464,0.003384451,0.025708601,0.999660432,-0.002579464,0.003384451,0.025708601,0.995004177,0.000000000,-0.096431971,-0.025837682,0.995004177,0.000000000,-0.096431971,-0.025837682,0.995004177,0.000000000,-0.096431971,-0.025837682,0.994328380,0.005133155,0.103167057,-0.025322648,0.999660432,0.002579464,0.003384451,-0.025708601,0.999660432,0.002579464,0.003384451,-0.025708601,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.995004177,0.099833414,0.000000000,0.000000000,0.995004177,0.099833414,0.000000000,0.000000000,0.821212351,0.082396075,0.561821640,0.056370188,0.821212351,0.082396075,0.561821640,0.056370188,0.821212351,0.082396075,0.561821640,0.056370188,0.821212351,0.082396075,0.561821640,0.056370188,1.000000000,0.000000000,0.000000000,0.000000000,0.995004177,-0.099833414,0.000000000,0.000000000,0.995004177,-0.099833414,0.000000000,0.000000000,0.821212351,-0.082396075,0.561821640,-0.056370188,0.821212351,-0.082396075,0.561821640,-0.056370188,0.821212351,-0.082396075,0.561821640,-0.056370188,0.821212351,-0.082396075,0.561821640,-0.056370188,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
1.000000000,0.000000000,0.000000000,0.000000000,0.995004177,0.000000000,-0.096431971,0.025837682,0.995004177,0.000000000,-0.096431971,0.025837682,0.995004177,0.000000000,-0.096431971,0.025837682,0.994328380,-0.005133155,0.103167057,0.025322648,0.999660432,-0.002579464,0.003384451,0.025708601,0.999660432,-0.002579464,0.003384451,0.025708601,0.995004177,0.000000000,-0.096431971,-0.025837682,0.995004177,0.000000000,-0.096431971,-0.025837682,0.995004177,0.000000000,-0.096431971,-0.025837682,0.994328380,0.005133155,0.103167057,-0.025322648,0.999660432,0.002579464,0.003384451,-0.025708601,0.999660432,0.002579464,0.003384451,-0.025708601,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.995004177,0.099833414,0.000000000,0.000000000,0.995004177,0.099833414,0.000000000,0.000000000,0.821212351,0.082396075,0.561821640,0.056370188,0.821212351,0.082396075,0.561821640,0.056370188,0.821212351,0.082396075,0.561821640,0.056370188,0.821212351,0.082396075,0.561821640,0.056370188,1.000000000,0.000000000,0.000000000,0.000000000,0.995004177,-0.099833414,0.000000000,0.000000000,0.995004177,-0.099833414,0.000000000,0.000000000,0.821212351,-0.082396075,0.561821640,-0.056370188,0.821212351,-0.082396075,0.561821640,-0.056370188,0.821212351,-0.082396075,0.561821640,-0.056370188,0.821212351,-0.082396075,0.561821640,-0.056370188,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
1.000000000,0.000000000,0.000000000,0.000000000,0.995004177,0.000000000,-0.096431971,0.025837682,0.995004177,0.000000000,-0.096431971,0.025837682,0.995004177,0.000000000,-0.096431971,0.025837682,0.994328380,-0.005133155,0.103167057,0.025322648,0.999660432,-0.002579464,0.003384451,0.025708601,0.999660432,-0.002579464,0.003384451,0.025708601,0.995004177,0.000000000,-0.096431971,-0.025837682,0.995004177,0.000000000,-0.096431971,-0.025837682,0.995004177,0.000000000,-0.096431971,-0.025837682,0.994328380,0.005133155,0.103167057,-0.025322648,0.999660432,0.002579464,0.003384451,-0.025708601,0.999660432,0.002579464,0.003384451,-0.025708601,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.995004177,0.099833414,0.000000000,0.000000000,0.995004177,0.099833414,0.000000000,0.000000000,0.821212351,0.082396075,0.561821640,0.056370188,0.821212351,0.082396075,0.561821640,0.056370188,0.821212351,0.082396075,0.561821640,0.056370188,0.821212351,0.082396075,0.561821640,0.056370188,1.000000000,0.000000000,0.000000000,0.000000000,0.995004177,-0.099833414,0.000000000,0.000000000,0.995004177,-0.099833414,0.000000000,0.000000000,0.821212351,-0.082396075,0.561821640,-0.056370188,0.821212351,-0.082396075,0.561821640,-0.056370188,0.821212351,-0.082396075,0.561821640,-0.056370188,0.821212351,-0.082396075,0.561821640,-0.056370188,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
