f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28
-0.444767,0.421775,0.083671,0.577444,-0.076718,-0.115313,0.073649,0.262137,-0.184497,0.117598,-0.186608,-0.125274,-0.087856,0.009122,0.122423,-0.447979,1.017082,0.160759,0.141978,-0.052201,0.099859,-0.152922,0.330303,1.065756,-0.031894,-0.049369,-0.136420,0.000000,0.000000
-0.444845,0.421620,0.083840,0.577115,-0.076229,-0.115195,0.073433,0.262023,-0.184490,0.117587,-0.186369,-0.124894,-0.088312,0.009102,0.122501,-0.448555,1.016963,0.160598,0.142334,-0.052461,0.099937,-0.153146,0.329394,1.065237,-0.038186,-0.042966,-0.140487,0.000000,0.000000
-0.444751,0.421435,0.084150,0.576519,-0.075609,-0.115185,0.073226,0.261807,-0.184568,0.117583,-0.186218,-0.124614,-0.088854,0.009060,0.122566,-0.448877,1.017143,0.160503,0.142337,-0.053312,0.099867,-0.153222,0.328950,1.064595,-0.041686,-0.043923,-0.143211,0.000000,0.000000
-0.444715,0.421179,0.084293,0.576045,-0.075067,-0.115069,0.073027,0.261579,-0.184642,0.117588,-0.186031,-0.124198,-0.089010,0.008833,0.122750,-0.449754,1.017327,0.160645,0.141833,-0.053938,0.099865,-0.153345,0.328331,1.063919,-0.045724,-0.046431,-0.145139,0.000000,0.000000
-0.444841,0.420871,0.084145,0.575868,-0.074716,-0.114768,0.072872,0.261401,-0.184643,0.117579,-0.185764,-0.123569,-0.089316,0.008574,0.122856,-0.450562,1.017693,0.161145,0.140990,-0.053846,0.099483,-0.153443,0.328549,1.063797,-0.051432,-0.048066,-0.146028,0.000000,0.000000
-0.444679,0.420602,0.084003,0.575561,-0.074348,-0.114731,0.072919,0.261216,-0.184815,0.117556,-0.185512,-0.123227,-0.089562,0.008467,0.123006,-0.451285,1.017890,0.161591,0.140440,-0.053527,0.099332,-0.153646,0.328493,1.063839,-0.056247,-0.048373,-0.148090,0.000000,0.000000
-0.444307,0.420344,0.083949,0.575176,-0.074004,-0.114842,0.073120,0.261003,-0.185076,0.117543,-0.185339,-0.123076,-0.089886,0.008418,0.123091,-0.451482,1.017994,0.161900,0.140419,-0.053106,0.099224,-0.153818,0.328168,1.064044,-0.060495,-0.048360,-0.150890,0.000000,0.000000
-0.443886,0.420065,0.084256,0.574816,-0.073813,-0.114816,0.073378,0.260746,-0.185177,0.117568,-0.185422,-0.122883,-0.090100,0.008545,0.123170,-0.451637,1.017684,0.162240,0.140574,-0.052720,0.099470,-0.154144,0.327745,1.063767,-0.065212,-0.049908,-0.153381,0.000000,0.000000
-0.443557,0.419682,0.084359,0.574502,-0.073636,-0.114809,0.073635,0.260428,-0.185483,0.117581,-0.185517,-0.122787,-0.090307,0.008740,0.123178,-0.451635,1.017395,0.162228,0.140597,-0.052583,0.099874,-0.154570,0.327502,1.063401,-0.069261,-0.051364,-0.155770,0.000000,0.000000
-0.443391,0.419146,0.084034,0.574236,-0.073410,-0.114869,0.073833,0.260035,-0.186147,0.117585,-0.185526,-0.122838,-0.090507,0.008906,0.123137,-0.451531,1.017395,0.161730,0.140276,-0.052814,0.100247,-0.154881,0.327554,1.063278,-0.072235,-0.052175,-0.158055,0.000000,0.000000
