f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89
0.010406,0.023155,0.829340,0.146490,0.020069,0.768684,0.123630,-0.009443,0.718898,0.208972,-0.121257,0.461415,0.208972,-0.121257,0.461415,0.252539,-0.060764,0.057232,0.252539,-0.060764,0.057232,-0.137813,0.022256,0.813921,-0.131384,0.023597,0.752042,-0.100923,0.029921,0.460297,-0.100923,0.029921,0.460297,-0.050005,0.086144,0.056357,-0.050005,0.086144,0.056357,0.076501,0.044860,1.243674,0.248700,0.028633,1.217055,0.248700,0.028633,1.217055,0.240475,0.016245,0.987536,0.240475,0.016245,0.987536,0.189609,-0.069515,0.847386,0.189609,-0.069515,0.847386,0.180279,-0.101351,0.799811,-0.095701,0.061089,1.270294,-0.095701,0.061089,1.270294,-0.163661,0.075126,1.051012,-0.163661,0.075126,1.051012,-0.190371,0.003626,0.896875,-0.190371,0.003626,0.896875,-0.201872,-0.021106,0.845688,0.110823,0.056133,1.458844,0.110823,0.056133,1.458844
0.010456,0.023204,0.829354,0.146541,0.020054,0.768703,0.123666,-0.009435,0.718910,0.209013,-0.121227,0.461420,0.209013,-0.121227,0.461420,0.252618,-0.060715,0.057244,0.252618,-0.060715,0.057244,-0.137763,0.022357,0.813930,-0.131332,0.023693,0.752051,-0.100852,0.029993,0.460307,-0.100852,0.029993,0.460307,-0.049926,0.086178,0.056363,-0.049926,0.086178,0.056363,0.076544,0.044976,1.243686,0.248733,0.028613,1.217081,0.248733,0.028613,1.217081,0.240554,0.016235,0.987560,0.240554,0.016235,0.987560,0.189606,-0.069480,0.847413,0.189606,-0.069480,0.847413,0.180227,-0.101303,0.799839,-0.095647,0.061338,1.270291,-0.095647,0.061338,1.270291,-0.163589,0.075396,1.051006,-0.163589,0.075396,1.051006,-0.190330,0.003907,0.896869,-0.190330,0.003907,0.896869,-0.201975,-0.020851,0.845727,0.110863,0.056282,1.458854,0.110863,0.056282,1.458854
0.010540,0.023258,0.829358,0.146624,0.020044,0.768708,0.123734,-0.009425,0.718911,0.209085,-0.121208,0.461418,0.209085,-0.121208,0.461418,0.252718,-0.060672,0.057249,0.252718,-0.060672,0.057249,-0.137679,0.022459,0.813935,-0.131248,0.023788,0.752055,-0.100760,0.030055,0.460312,-0.100760,0.030055,0.460312,-0.049835,0.086200,0.056362,-0.049835,0.086200,0.056362,0.076636,0.045114,1.243685,0.248815,0.028629,1.217087,0.248815,0.028629,1.217087,0.240652,0.016210,0.987568,0.240652,0.016210,0.987568,0.189628,-0.069493,0.847441,0.189628,-0.069493,0.847441,0.180222,-0.101320,0.799874,-0.095545,0.061598,1.270282,-0.095545,0.061598,1.270282,-0.163485,0.075620,1.050994,-0.163485,0.075620,1.050994,-0.190266,0.004126,0.896866,-0.190266,0.004126,0.896866,-0.202071,-0.020663,0.845776,0.110959,0.056464,1.458850,0.110959,0.056464,1.458850
0.010620,0.023342,0.829363,0.146697,0.020018,0.768701,0.123780,-0.009438,0.718908,0.209113,-0.121282,0.461436,0.209113,-0.121282,0.461436,0.252761,-0.060739,0.057269,0.252761,-0.060739,0.057269,-0.137601,0.022632,0.813953,-0.131174,0.023946,0.752072,-0.100695,0.030142,0.460327,-0.100695,0.030142,0.460327,-0.049774,0.086191,0.056363,-0.049774,0.086191,0.056363,0.076768,0.045307,1.243675,0.248931,0.028670,1.217070,0.248931,0.028670,1.217070,0.240758,0.016199,0.987554,0.240758,0.016199,0.987554,0.189616,-0.069493,0.847463,0.189616,-0.069493,0.847463,0.180161,-0.101324,0.799909,-0.095397,0.061943,1.270280,-0.095397,0.061943,1.270280,-0.163366,0.075912,1.050997,-0.163366,0.075912,1.050997,-0.190207,0.004424,0.896876,-0.190207,0.004424,0.896876,-0.202141,-0.020383,0.845826,0.111118,0.056714,1.458833,0.111118,0.056714,1.458833
0.010705,0.023425,0.829370,0.146779,0.020041,0.768706,0.123847,-0.009404,0.718913,0.209188,-0.121261,0.461448,0.209188,-0.121261,0.461448,0.252832,-0.060708,0.057283,0.252832,-0.060708,0.057283,-0.137517,0.022764,0.813965,-0.131091,0.024070,0.752084,-0.100630,0.030226,0.460336,-0.100630,0.030226,0.460336,-0.049734,0.086218,0.056361,-0.049734,0.086218,0.056361,0.076873,0.045453,1.243676,0.249025,0.028699,1.217073,0.249025,0.028699,1.217073,0.240853,0.016214,0.987558,0.240853,0.016214,0.987558,0.189624,-0.069457,0.847486,0.189624,-0.069457,0.847486,0.180140,-0.101290,0.799939,-0.095281,0.062206,1.270280,-0.095281,0.062206,1.270280,-0.163269,0.076142,1.051000,-0.163269,0.076142,1.051000,-0.190159,0.004674,0.896879,-0.190159,0.004674,0.896879,-0.202241,-0.020152,0.845872,0.111233,0.056892,1.458831,0.111233,0.056892,1.458831
0.010778,0.023509,0.829372,0.146849,0.020058,0.768708,0.123905,-0.009380,0.718917,0.209238,-0.121282,0.461469,0.209238,-0.121282,0.461469,0.252877,-0.060798,0.057293,0.252877,-0.060798,0.057293,-0.137444,0.022902,0.813968,-0.131019,0.024192,0.752087,-0.100579,0.030276,0.460334,-0.100579,0.030276,0.460334,-0.049707,0.086166,0.056343,-0.049707,0.086166,0.056343,0.076956,0.045612,1.243672,0.249096,0.028727,1.217076,0.249096,0.028727,1.217076,0.240932,0.016204,0.987562,0.240932,0.016204,0.987562,0.189622,-0.069451,0.847510,0.189622,-0.069451,0.847510,0.180110,-0.101286,0.799970,-0.095186,0.062497,1.270268,-0.095186,0.062497,1.270268,-0.163190,0.076411,1.050993,-0.163190,0.076411,1.050993,-0.190144,0.004945,0.896882,-0.190144,0.004945,0.896882,-0.202371,-0.019899,0.845918,0.111323,0.057090,1.458824,0.111323,0.057090,1.458824
0.010878,0.023625,0.829381,0.146944,0.020135,0.768708,0.123989,-0.009302,0.718921,0.209316,-0.121234,0.461485,0.209316,-0.121234,0.461485,0.252936,-0.060782,0.057302,0.252936,-0.060782,0.057302,-0.137346,0.023047,0.813988,-0.130924,0.024325,0.752106,-0.100492,0.030352,0.460352,-0.100492,0.030352,0.460352,-0.049638,0.086160,0.056347,-0.049638,0.086160,0.056347,0.077091,0.045777,1.243673,0.249220,0.028783,1.217072,0.249220,0.028783,1.217072,0.241040,0.016184,0.987563,0.241040,0.016184,0.987563,0.189654,-0.069440,0.847520,0.189654,-0.069440,0.847520,0.180074,-0.101260,0.799983,-0.095039,0.062771,1.270275,-0.095039,0.062771,1.270275,-0.163065,0.076678,1.051005,-0.163065,0.076678,1.051005,-0.190072,0.005210,0.896905,-0.190072,0.005210,0.896905,-0.202355,-0.019628,0.845952,0.111476,0.057281,1.458820,0.111476,0.057281,1.458820
0.010976,0.023769,0.829392,0.147035,0.020252,0.768703,0.124070,-0.009187,0.718923,0.209365,-0.121162,0.461494,0.209365,-0.121162,0.461494,0.252945,-0.060791,0.057295,0.252945,-0.060791,0.057295,-0.137249,0.023212,0.814014,-0.130834,0.024475,0.752132,-0.100434,0.030434,0.460373,-0.100434,0.030434,0.460373,-0.049622,0.086150,0.056349,-0.049622,0.086150,0.056349,0.077238,0.045963,1.243673,0.249357,0.028903,1.217058,0.249357,0.028903,1.217058,0.241154,0.016227,0.987554,0.241154,0.016227,0.987554,0.189702,-0.069370,0.847519,0.189702,-0.069370,0.847519,0.180054,-0.101174,0.799986,-0.094884,0.063024,1.270289,-0.094884,0.063024,1.270289,-0.162948,0.076939,1.051032,-0.162948,0.076939,1.051032,-0.189999,0.005467,0.896941,-0.189999,0.005467,0.896941,-0.202254,-0.019344,0.845969,0.111647,0.057489,1.458816,0.111647,0.057489,1.458816
0.011078,0.023918,0.829410,0.147130,0.020392,0.768707,0.124160,-0.009057,0.718934,0.209401,-0.121085,0.461511,0.209401,-0.121085,0.461511,0.252922,-0.060859,0.057284,0.252922,-0.060859,0.057284,-0.137149,0.023362,0.814048,-0.130741,0.024609,0.752165,-0.100399,0.030490,0.460398,-0.100399,0.030490,0.460398,-0.049665,0.086098,0.056350,-0.049665,0.086098,0.056350,0.077384,0.046149,1.243682,0.249501,0.029088,1.217050,0.249501,0.029088,1.217050,0.241276,0.016349,0.987550,0.241276,0.016349,0.987550,0.189785,-0.069243,0.847526,0.189785,-0.069243,0.847526,0.180092,-0.101045,0.800000,-0.094735,0.063209,1.270315,-0.094735,0.063209,1.270315,-0.162856,0.077159,1.051078,-0.162856,0.077159,1.051078,-0.189933,0.005673,0.896998,-0.189933,0.005673,0.896998,-0.202065,-0.019091,0.845973,0.111817,0.057693,1.458820,0.111817,0.057693,1.458820
0.011176,0.024109,0.829423,0.147226,0.020588,0.768714,0.124256,-0.008871,0.718947,0.209458,-0.120943,0.461530,0.209458,-0.120943,0.461530,0.252923,-0.060882,0.057272,0.252923,-0.060882,0.057272,-0.137052,0.023543,0.814070,-0.130647,0.024774,0.752186,-0.100348,0.030581,0.460413,-0.100348,0.030581,0.460413,-0.049675,0.086085,0.056343,-0.049675,0.086085,0.056343,0.077503,0.046368,1.243691,0.249614,0.029247,1.217055,0.249614,0.029247,1.217055,0.241384,0.016474,0.987557,0.241384,0.016474,0.987557,0.189832,-0.069107,0.847549,0.189832,-0.069107,0.847549,0.180123,-0.100916,0.800031,-0.094609,0.063490,1.270327,-0.094609,0.063490,1.270327,-0.162770,0.077456,1.051104,-0.162770,0.077456,1.051104,-0.189917,0.005917,0.897061,-0.189917,0.005917,0.897061,-0.201756,-0.018777,0.845933,0.111947,0.057928,1.458826,0.111947,0.057928,1.458826
