body_0_w,body_0_x,body_0_y,body_0_z,body_1_w,body_1_x,body_1_y,body_1_z,body_2_w,body_2_x,body_2_y,body_2_z,body_3_w,body_3_x,body_3_y,body_3_z,body_4_w,body_4_x,body_4_y,body_4_z,body_5_w,body_5_x,body_5_y,body_5_z,body_6_w,body_6_x,body_6_y,body_6_z,body_7_w,body_7_x,body_7_y,body_7_z,body_8_w,body_8_x,body_8_y,body_8_z,body_9_w,body_9_x,body_9_y,body_9_z,body_10_w,body_10_x,body_10_y,body_10_z,body_11_w,body_11_x,body_11_y,body_11_z,body_12_w,body_12_x,body_12_y,body_12_z,body_13_w,body_13_x,body_13_y,body_13_z,body_14_w,body_14_x,body_14_y,body_14_z,body_15_w,body_15_x,body_15_y,body_15_z,body_16_w,body_16_x,body_16_y,body_16_z,body_17_w,body_17_x,body_17_y,body_17_z,body_18_w,body_18_x,body_18_y,body_18_z,body_19_w,body_19_x,body_19_y,body_19_z,body_20_w,body_20_x,body_20_y,body_20_z,body_21_w,body_21_x,body_21_y,body_21_z,body_22_w,body_22_x,body_22_y,body_22_z,body_23_w,body_23_x,body_23_y,body_23_z,body_24_w,body_24_x,body_24_y,body_24_z,body_25_w,body_25_x,body_25_y,body_25_z,body_26_w,body_26_x,body_26_y,body_26_z,body_27_w,body_27_x,body_27_y,body_27_z,body_28_w,body_28_x,body_28_y,body_28_z,body_29_w,body_29_x,body_29_y,body_29_z
1.000000000,0.000000000,0.000000000,0.000000000,0.995004166,0.000000000,-0.096431969,0.025837682,0.995004166,0.000000000,-0.096431969,0.025837682,0.995004166,0.000000000,-0.096431969,0.025837682,0.994328403,-0.005133155,0.103167059,0.025322648,0.999660422,-0.002579464,0.003384451,0.025708601,0.999660422,-0.002579464,0.003384451,0.025708601,0.995004166,0.000000000,-0.096431969,-0.025837682,0.995004166,0.000000000,-0.096431969,-0.025837682,0.995004166,0.000000000,-0.096431969,-0.025837682,0.994328403,0.005133155,0.103167059,-0.025322648,0.999660422,0.002579464,0.003384451,-0.025708601,0.999660422,0.002579464,0.003384451,-0.025708601,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.995004166,0.099833413,0.000000000,0.000000000,0.995004166,0.099833413,0.000000000,0.000000000,0.821212355,0.082396075,0.561821642,0.056370188,0.821212355,0.082396075,0.561821642,0.056370188,0.821212355,0.082396075,0.561821642,0.056370188,0.821212355,0.082396075,0.561821642,0.056370188,1.000000000,0.000000000,0.000000000,0.000000000,0.995004166,-0.099833413,0.000000000,0.000000000,0.995004166,-0.099833413,0.000000000,0.000000000,0.821212355,-0.082396075,0.561821642,-0.056370188,0.821212355,-0.082396075,0.561821642,-0.056370188,0.821212355,-0.082396075,0.561821642,-0.056370188,0.821212355,-0.082396075,0.561821642,-0.056370188,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
1.000000000,0.000000000,0.000000000,0.000000000,0.995004166,0.000000000,-0.096431969,0.025837682,0.995004166,0.000000000,-0.096431969,0.025837682,0.995004166,0.000000000,-0.096431969,0.025837682,0.994328403,-0.005133155,0.103167059,0.025322648,0.999660422,-0.002579464,0.003384451,0.025708601,0.999660422,-0.002579464,0.003384451,0.025708601,0.995004166,0.000000000,-0.096431969,-0.025837682,0.995004166,0.000000000,-0.096431969,-0.025837682,0.995004166,0.000000000,-0.096431969,-0.025837682,0.994328403,0.005133155,0.103167059,-0.025322648,0.999660422,0.002579464,0.003384451,-0.025708601,0.999660422,0.002579464,0.003384451,-0.025708601,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.995004166,0.099833413,0.000000000,0.000000000,0.995004166,0.099833413,0.000000000,0.000000000,0.821212355,0.082396075,0.561821642,0.056370188,0.821212355,0.082396075,0.561821642,0.056370188,0.821212355,0.082396075,0.561821642,0.056370188,0.821212355,0.082396075,0.561821642,0.056370188,1.000000000,0.000000000,0.000000000,0.000000000,0.995004166,-0.099833413,0.000000000,0.000000000,0.995004166,-0.099833413,0.000000000,0.000000000,0.821212355,-0.082396075,0.561821642,-0.056370188,0.821212355,-0.082396075,0.561821642,-0.056370188,0.821212355,-0.082396075,0.561821642,-0.056370188,0.821212355,-0.082396075,0.561821642,-0.056370188,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
1.000000000,0.000000000,0.000000000,0.000000000,0.995004166,0.000000000,-0.096431969,0.025837682,0.995004166,0.000000000,-0.096431969,0.025837682,0.995004166,0.000000000,-0.096431969,0.025837682,0.994328403,-0.005133155,0.103167059,0.025322648,0.999660422,-0.002579464,0.003384451,0.025708601,0.999660422,-0.002579464,0.003384451,0.025708601,0.995004166,0.000000000,-0.096431969,-0.025837682,0.995004166,0.000000000,-0.096431969,-0.025837682,0.995004166,0.000000000,-0.096431969,-0.025837682,0.994328403,0.005133155,0.103167059,-0.025322648,0.999660422,0.002579464,0.003384451,-0.025708601,0.999660422,0.002579464,0.003384451,-0.025708601,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.995004166,0.099833413,0.000000000,0.000000000,0.995004166,0.099833413,0.000000000,0.000000000,0.821212355,0.082396075,0.561821642,0.056370188,0.821212355,0.082396075,0.561821642,0.056370188,0.821212355,0.082396075,0.561821642,0.056370188,0.821212355,0.082396075,0.561821642,0.056370188,1.000000000,0.000000000,0.000000000,0.000000000,0.995004166,-0.099833413,0.000000000,0.000000000,0.995004166,-0.099833413,0.000000000,0.000000000,0.821212355,-0.082396075,0.561821642,-0.056370188,0.821212355,-0.082396075,0.561821642,-0.056370188,0.821212355,-0.082396075,0.561821642,-0.056370188,0.821212355,-0.082396075,0.561821642,-0.056370188,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
1.000000000,0.000000000,0.000000000,0.000000000,0.995004166,0.000000000,-0.096431969,0.025837682,0.995004166,0.000000000,-0.096431969,0.025837682,0.995004166,0.000000000,-0.096431969,0.025837682,0.994328403,-0.005133155,0.103167059,0.025322648,0.999660422,-0.002579464,0.003384451,0.025708601,0.999660422,-0.002579464,0.003384451,0.025708601,0.995004166,0.000000000,-0.096431969,-0.025837682,0.995004166,0.000000000,-0.096431969,-0.025837682,0.995004166,0.000000000,-0.096431969,-0.025837682,0.994328403,0.005133155,0.103167059,-0.025322648,0.999660422,0.002579464,0.003384451,-0.025708601,0.999660422,0.002579464,0.003384451,-0.025708601,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.995004166,0.099833413,0.000000000,0.000000000,0.995004166,0.099833413,0.000000000,0.000000000,0.821212355,0.082396075,0.561821642,0.056370188,0.821212355,0.082396075,0.561821642,0.056370188,0.821212355,0.082396075,0.561821642,0.056370188,0.821212355,0.082396075,0.561821642,0.056370188,1.000000000,0.000000000,0.000000000,0.000000000,0.995004166,-0.099833413,0.000000000,0.000000000,0.995004166,-0.099833413,0.000000000,0.000000000,0.821212355,-0.082396075,0.561821642,-0.056370188,0.821212355,-0.082396075,0.561821642,-0.056370188,0.821212355,-0.082396075,0.561821642,-0.056370188,0.821212355,-0.082396075,0.561821642,-0.056370188,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
1.000000000,0.000000000,0.000000000,0.000000000,0.995004166,0.000000000,-0.096431969,0.025837682,0.995004166,0.000000000,-0.096431969,0.025837682,0.995004166,0.000000000,-0.096431969,0.025837682,0.994328403,-0.005133155,0.103167059,0.025322648,0.999660422,-0.002579464,0.003384451,0.025708601,0.999660422,-0.002579464,0.003384451,0.025708601,0.995004166,0.000000000,-0.096431969,-0.025837682,0.995004166,0.000000000,-0.096431969,-0.025837682,0.995004166,0.000000000,-0.096431969,-0.025837682,0.994328403,0.005133155,0.103167059,-0.025322648,0.999660422,0.002579464,0.003384451,-0.025708601,0.999660422,0.002579464,0.003384451,-0.025708601,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.995004166,0.099833413,0.000000000,0.000000000,0.995004166,0.099833413,0.000000000,0.000000000,0.821212355,0.082396075,0.561821642,0.056370188,0.821212355,0.082396075,0.561821642,0.056370188,0.821212355,0.082396075,0.561821642,0.056370188,0.821212355,0.082396075,0.561821642,0.056370188,1.000000000,0.000000000,0.000000000,0.000000000,0.995004166,-0.099833413,0.000000000,0.000000000,0.995004166,-0.099833413,0.000000000,0.000000000,0.821212355,-0.082396075,0.561821642,-0.056370188,0.821212355,-0.082396075,0.561821642,-0.056370188,0.821212355,-0.082396075,0.561821642,-0.056370188,0.821212355,-0.082396075,0.561821642,-0.056370188,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
1.000000000,0.000000000,0.000000000,0.000000000,0.995004166,0.000000000,-0.096431969,0.025837682,0.995004166,0.000000000,-0.096431969,0.025837682,0.995004166,0.000000000,-0.096431969,0.025837682,0.994328403,-0.005133155,0.103167059,0.025322648,0.999660422,-0.002579464,0.003384451,0.025708601,0.999660422,-0.002579464,0.003384451,0.025708601,0.995004166,0.000000000,-0.096431969,-0.025837682,0.995004166,0.000000000,-0.096431969,-0.025837682,0.995004166,0.000000000,-0.096431969,-0.025837682,0.994328403,0.005133155,0.103167059,-0.025322648,0.999660422,0.002579464,0.003384451,-0.025708601,0.999660422,0.002579464,0.003384451,-0.025708601,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.995004166,0.099833413,0.000000000,0.000000000,0.995004166,0.099833413,0.000000000,0.000000000,0.821212355,0.082396075,0.561821642,0.056370188,0.821212355,0.082396075,0.561821642,0.056370188,0.821212355,0.082396075,0.561821642,0.056370188,0.821212355,0.082396075,0.561821642,0.056370188,1.000000000,0.000000000,0.000000000,0.000000000,0.995004166,-0.099833413,0.000000000,0.000000000,0.995004166,-0.099833413,0.000000000,0.000000000,0.821212355,-0.082396075,0.561821642,-0.056370188,0.821212355,-0.082396075,0.561821642,-0.056370188,0.821212355,-0.082396075,0.561821642,-0.056370188,0.821212355,-0.082396075,0.561821642,-0.056370188,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
1.000000000,0.000000000,0.000000000,0.000000000,0.995004166,0.000000000,-0.096431969,0.025837682,0.995004166,0.000000000,-0.096431969,0.025837682,0.995004166,0.000000000,-0.096431969,0.025837682,0.994328403,-0.005133155,0.103167059,0.025322648,0.999660422,-0.002579464,0.003384451,0.025708601,0.999660422,-0.002579464,0.003384451,0.025708601,0.995004166,0.000000000,-0.096431969,-0.025837682,0.995004166,0.000000000,-0.096431969,-0.025837682,0.995004166,0.000000000,-0.096431969,-0.025837682,0.994328403,0.005133155,0.103167059,-0.025322648,0.999660422,0.002579464,0.003384451,-0.025708601,0.999660422,0.002579464,0.003384451,-0.025708601,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.995004166,0.099833413,0.000000000,0.000000000,0.995004166,0.099833413,0.000000000,0.000000000,0.821212355,0.082396075,0.561821642,0.056370188,0.821212355,0.082396075,0.561821642,0.056370188,0.821212355,0.082396075,0.561821642,0.056370188,0.821212355,0.082396075,0.561821642,0.056370188,1.000000000,0.000000000,0.000000000,0.000000000,0.995004166,-0.099833413,0.000000000,0.000000000,0.995004166,-0.099833413,0.000000000,0.000000000,0.821212355,-0.082396075,0.561821642,-0.056370188,0.821212355,-0.082396075,0.561821642,-0.056370188,0.821212355,-0.082396075,0.561821642,-0.056370188,0.821212355,-0.082396075,0.561821642,-0.056370188,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
1.000000000,0.000000000,0.000000000,0.000000000,0.995004166,0.000000000,-0.096431969,0.025837682,0.995004166,0.000000000,-0.096431969,0.025837682,0.995004166,0.000000000,-0.096431969,0.025837682,0.994328403,-0.005133155,0.103167059,0.025322648,0.999660422,-0.002579464,0.003384451,0.025708601,0.999660422,-0.002579464,0.003384451,0.025708601,0.995004166,0.000000000,-0.096431969,-0.025837682,0.995004166,0.000000000,-0.096431969,-0.025837682,0.995004166,0.000000000,-0.096431969,-0.025837682,0.994328403,0.005133155,0.103167059,-0.025322648,0.999660422,0.002579464,0.003384451,-0.025708601,0.999660422,0.002579464,0.003384451,-0.025708601,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.995004166,0.099833413,0.000000000,0.000000000,0.995004166,0.099833413,0.000000000,0.000000000,0.821212355,0.082396075,0.561821642,0.056370188,0.821212355,0.082396075,0.561821642,0.056370188,0.821212355,0.082396075,0.561821642,0.056370188,0.821212355,0.082396075,0.561821642,0.056370188,1.000000000,0.000000000,0.000000000,0.000000000,0.995004166,-0.099833413,0.000000000,0.000000000,0.995004166,-0.099833413,0.000000000,0.000000000,0.821212355,-0.082396075,0.561821642,-0.056370188,0.821212355,-0.082396075,0.561821642,-0.056370188,0.821212355,-0.082396075,0.561821642,-0.056370188,0.821212355,-0.082396075,0.561821642,-0.056370188,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
1.000000000,0.000000000,0.000000000,0.000000000,0.995004166,0.000000000,-0.096431969,0.025837682,0.995004166,0.000000000,-0.096431969,0.025837682,0.995004166,0.000000000,-0.096431969,0.025837682,0.994328403,-0.005133155,0.103167059,0.025322648,0.999660422,-0.002579464,0.003384451,0.025708601,0.999660422,-0.002579464,0.003384451,0.025708601,0.995004166,0.000000000,-0.096431969,-0.025837682,0.995004166,0.000000000,-0.096431969,-0.025837682,0.995004166,0.000000000,-0.096431969,-0.025837682,0.994328403,0.005133155,0.103167059,-0.025322648,0.999660422,0.002579464,0.003384451,-0.025708601,0.999660422,0.002579464,0.003384451,-0.025708601,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.995004166,0.099833413,0.000000000,0.000000000,0.995004166,0.099833413,0.000000000,0.000000000,0.821212355,0.082396075,0.561821642,0.056370188,0.821212355,0.082396075,0.561821642,0.056370188,0.821212355,0.082396075,0.561821642,0.056370188,0.821212355,0.082396075,0.561821642,0.056370188,1.000000000,0.000000000,0.000000000,0.000000000,0.995004166,-0.099833413,0.000000000,0.000000000,0.995004166,-0.099833413,0.000000000,0.000000000,0.821212355,-0.082396075,0.561821642,-0.056370188,0.821212355,-0.082396075,0.561821642,-0.056370188,0.821212355,-0.082396075,0.561821642,-0.056370188,0.821212355,-0.082396075,0.561821642,-0.056370188,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
1.000000000,0.000000000,0.000000000,0.000000000,0.995004166,0.000000000,-0.096431969,0.025837682,0.995004166,0.000000000,-0.096431969,0.025837682,0.995004166,0.000000000,-0.096431969,0.025837682,0.994328403,-0.005133155,0.103167059,0.025322648,0.999660422,-0.002579464,0.003384451,0.025708601,0.999660422,-0.002579464,0.003384451,0.025708601,0.995004166,0.000000000,-0.096431969,-0.025837682,0.995004166,0.000000000,-0.096431969,-0.025837682,0.995004166,0.000000000,-0.096431969,-0.025837682,0.994328403,0.005133155,0.103167059,-0.025322648,0.999660422,0.002579464,0.003384451,-0.025708601,0.999660422,0.002579464,0.003384451,-0.025708601,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.995004166,0.099833413,0.000000000,0.000000000,0.995004166,0.099833413,0.000000000,0.000000000,0.821212355,0.082396075,0.561821642,0.056370188,0.821212355,0.082396075,0.561821642,0.056370188,0.821212355,0.082396075,0.561821642,0.056370188,0.821212355,0.082396075,0.561821642,0.056370188,1.000000000,0.000000000,0.000000000,0.000000000,0.995004166,-0.099833413,0.000000000,0.000000000,0.995004166,-0.099833413,0.000000000,0.000000000,0.821212355,-0.082396075,0.561821642,-0.056370188,0.821212355,-0.082396075,0.561821642,-0.056370188,0.821212355,-0.082396075,0.561821642,-0.056370188,0.821212355,-0.082396075,0.561821642,-0.056370188,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
